asset_type,exact_match,date_mismatch,no_match,non_equity,total,quiver_has_pct
(inconnu),0,0,65,8,73,0.0
Corporate Bond,0,0,21,32,53,0.0
Municipal Security,0,0,3,73,76,0.0
Non-Public Stock,0,0,1,23,24,0.0
Option,93,0,0,1,94,100.0
Other,88,1,10,90,189,89.9
Stock,1255,47,141,7,1450,90.2
Stock Option,0,0,2,0,2,0.0
