year,doc_id,status,path,present
2014,20002095,exists,/Users/lemairealice/Downloads/Jupiter/semaine 1/data/raw/house/ptr_pdfs/2014/20002095.pdf,True
2014,20000606,exists,/Users/lemairealice/Downloads/Jupiter/semaine 1/data/raw/house/ptr_pdfs/2014/20000606.pdf,True
2014,20001609,exists,/Users/lemairealice/Downloads/Jupiter/semaine 1/data/raw/house/ptr_pdfs/2014/20001609.pdf,True
2014,20001769,exists,/Users/lemairealice/Downloads/Jupiter/semaine 1/data/raw/house/ptr_pdfs/2014/20001769.pdf,True
2014,20001977,exists,/Users/lemairealice/Downloads/Jupiter/semaine 1/data/raw/house/ptr_pdfs/2014/20001977.pdf,True
2014,20002031,exists,/Users/lemairealice/Downloads/Jupiter/semaine 1/data/raw/house/ptr_pdfs/2014/20002031.pdf,True
2014,20000780,exists,/Users/lemairealice/Downloads/Jupiter/semaine 1/data/raw/house/ptr_pdfs/2014/20000780.pdf,True
2014,20001428,exists,/Users/lemairealice/Downloads/Jupiter/semaine 1/data/raw/house/ptr_pdfs/2014/20001428.pdf,True
2014,20002180,exists,/Users/lemairealice/Downloads/Jupiter/semaine 1/data/raw/house/ptr_pdfs/2014/20002180.pdf,True
2014,8214214,exists,/Users/lemairealice/Downloads/Jupiter/semaine 1/data/raw/house/ptr_pdfs/2014/8214214.pdf,True
2014,8214582,exists,/Users/lemairealice/Downloads/Jupiter/semaine 1/data/raw/house/ptr_pdfs/2014/8214582.pdf,True
2014,20000933,exists,/Users/lemairealice/Downloads/Jupiter/semaine 1/data/raw/house/ptr_pdfs/2014/20000933.pdf,True
2014,20001090,exists,/Users/lemairealice/Downloads/Jupiter/semaine 1/data/raw/house/ptr_pdfs/2014/20001090.pdf,True
2014,20001312,exists,/Users/lemairealice/Downloads/Jupiter/semaine 1/data/raw/house/ptr_pdfs/2014/20001312.pdf,True
2014,20001674,exists,/Users/lemairealice/Downloads/Jupiter/semaine 1/data/raw/house/ptr_pdfs/2014/20001674.pdf,True
2014,20001885,exists,/Users/lemairealice/Downloads/Jupiter/semaine 1/data/raw/house/ptr_pdfs/2014/20001885.pdf,True
2014,20002042,exists,/Users/lemairealice/Downloads/Jupiter/semaine 1/data/raw/house/ptr_pdfs/2014/20002042.pdf,True
2014,20000708,exists,/Users/lemairealice/Downloads/Jupiter/semaine 1/data/raw/house/ptr_pdfs/2014/20000708.pdf,True
2014,20000868,exists,/Users/lemairealice/Downloads/Jupiter/semaine 1/data/raw/house/ptr_pdfs/2014/20000868.pdf,True
2014,9106006,exists,/Users/lemairealice/Downloads/Jupiter/semaine 1/data/raw/house/ptr_pdfs/2014/9106006.pdf,True
2014,8214023,exists,/Users/lemairealice/Downloads/Jupiter/semaine 1/data/raw/house/ptr_pdfs/2014/8214023.pdf,True
