source,provenance,bioguide_id,declarant_name,chamber,party,state_district,committee_membership,committees_key_flag,transaction_date,disclosure_date,ticker,asset_description,asset_type,operation_type,amount_range,amount_midpoint,owner,doc_id,source_url,natural_key_hash
senate,openset,C000174,Thomas R Carper,senate,Democrat,,[],False,2021-02-12,2021-03-03,"<A HREF=""HTTPS://FINANCE.YAHOO.COM/Q?S=EEM"" TARGET=""_BLANK"">EEM</A>",iShares MSCI Emerging Markets ETF,Other Securities,Sale (Full),"$1,001 - $15,000",8000.5,Spouse,,https://efdsearch.senate.gov/search/view/ptr/32f5972d-f18a-4bd7-be67-4a856a5b9ff7/,e557bc5a1a04e91333030b223c2c712fc978dc10b6f140dc398170cfdb190408
senate,openset,C000174,Thomas R Carper,senate,Democrat,,[],False,2021-02-12,2021-03-03,"<A HREF=""HTTPS://FINANCE.YAHOO.COM/Q?S=FIMKX"" TARGET=""_BLANK"">FIMKX</A>",Fidelity Advisor Focused Emerging Markets Fund Cla,Other Securities,Purchase,"$1,001 - $15,000",8000.5,Spouse,,https://efdsearch.senate.gov/search/view/ptr/32f5972d-f18a-4bd7-be67-4a856a5b9ff7/,878fbc084667d4ddd61edebd9f3876d5b7fbf31b61ef31e2b2e3568c4cc718f9
senate,openset,H000601,"William F Hagerty, IV",senate,Republican,,"['Joint Committee on Printing', 'SSAP14', 'SSAP16', 'SSAP19', 'SSAP20', 'SSAP22', 'SSAP23', 'SSBK05', 'SSBK08', 'SSBK13', 'SSFR06', 'SSFR14', 'SSFR15', 'Senate Committee on Appropriations', 'Senate Committee on Banking, Housing, and Urban Affairs', 'Senate Committee on Foreign Relations', 'Senate Committee on Rules and Administration']",True,2021-01-11,2021-02-24,,"HC 17th and Grand Partners, LP <div class=""text-muted""> <em>Company:</em> HC 17th and Grand Partners, LP &nbsp;(Wilmington, DE) </div> <div class=""text-muted""><em>Description:</em>&nbsp;Limited Partnership for the purpose of acquiring, developing and selling commercial real estate</div>",Other Securities,Purchase,"$50,001 - $100,000",75000.5,Child,,https://efdsearch.senate.gov/search/view/ptr/331fc417-1f96-4a2e-a164-b15fc2493281/,50656d0e69720e8b0883c493354b29374398692fe0637eccf6162bf83f115aac
senate,openset,H000601,"William F Hagerty, IV",senate,Republican,,"['Joint Committee on Printing', 'SSAP14', 'SSAP16', 'SSAP19', 'SSAP20', 'SSAP22', 'SSAP23', 'SSBK05', 'SSBK08', 'SSBK13', 'SSFR06', 'SSFR14', 'SSFR15', 'Senate Committee on Appropriations', 'Senate Committee on Banking, Housing, and Urban Affairs', 'Senate Committee on Foreign Relations', 'Senate Committee on Rules and Administration']",True,2021-01-11,2021-02-24,,"HC 17th and Grand Partners, LP <div class=""text-muted""> <em>Company:</em> HC 17th and Grand Partners, LP &nbsp;(Wilmington, DE) </div> <div class=""text-muted""><em>Description:</em>&nbsp;Limited Partnership for purpose of acquiring, developing and selling commercial real estate</div>",Other Securities,Purchase,"$250,001 - $500,000",375000.5,Self,,https://efdsearch.senate.gov/search/view/ptr/331fc417-1f96-4a2e-a164-b15fc2493281/,decbad355106eb057594942119296641024729695d25980d8fbf8e945555ab72
senate,openset,H000601,"William F Hagerty, IV",senate,Republican,,"['Joint Committee on Printing', 'SSAP14', 'SSAP16', 'SSAP19', 'SSAP20', 'SSAP22', 'SSAP23', 'SSBK05', 'SSBK08', 'SSBK13', 'SSFR06', 'SSFR14', 'SSFR15', 'Senate Committee on Appropriations', 'Senate Committee on Banking, Housing, and Urban Affairs', 'Senate Committee on Foreign Relations', 'Senate Committee on Rules and Administration']",True,2021-02-16,2021-02-19,"<A HREF=""HTTPS://FINANCE.YAHOO.COM/Q?S=CTAA"" TARGET=""_BLANK"">CTAA</A>",Qwest Corp. NT 7% 2056,Stock,Sale (Full),"$15,001 - $50,000",32500.5,Self,,https://efdsearch.senate.gov/search/view/ptr/823ec2b1-9e0c-4b13-bf35-81722c1a083c/,7172eb5406d91cfb9c7cc48fab4a10b87b147d5ea90da05a032d80a58cdd9d3f
senate,openset,H000601,"William F Hagerty, IV",senate,Republican,,"['Joint Committee on Printing', 'SSAP14', 'SSAP16', 'SSAP19', 'SSAP20', 'SSAP22', 'SSAP23', 'SSBK05', 'SSBK08', 'SSBK13', 'SSFR06', 'SSFR14', 'SSFR15', 'Senate Committee on Appropriations', 'Senate Committee on Banking, Housing, and Urban Affairs', 'Senate Committee on Foreign Relations', 'Senate Committee on Rules and Administration']",True,2021-01-19,2021-02-19,,"Editas Medicine, Inc.",Stock,Sale (Partial),"$15,001 - $50,000",32500.5,Self,,https://efdsearch.senate.gov/search/view/ptr/823ec2b1-9e0c-4b13-bf35-81722c1a083c/,704966e88084d9e4f3c4eba87994dee5ccce2106604bf6d5d20daa8fdb403c1b
senate,openset,H000601,"William F Hagerty, IV",senate,Republican,,"['Joint Committee on Printing', 'SSAP14', 'SSAP16', 'SSAP19', 'SSAP20', 'SSAP22', 'SSAP23', 'SSBK05', 'SSBK08', 'SSBK13', 'SSFR06', 'SSFR14', 'SSFR15', 'Senate Committee on Appropriations', 'Senate Committee on Banking, Housing, and Urban Affairs', 'Senate Committee on Foreign Relations', 'Senate Committee on Rules and Administration']",True,2021-01-08,2021-02-19,"<A HREF=""HTTPS://FINANCE.YAHOO.COM/Q?S=LMND"" TARGET=""_BLANK"">LMND</A>","Lemonade, Inc.",Stock,Sale (Partial),"$1,001 - $15,000",8000.5,Self,,https://efdsearch.senate.gov/search/view/ptr/823ec2b1-9e0c-4b13-bf35-81722c1a083c/,6a198617db8e60ff2461c64d67eed5d58074b86cada6ef042327fd4fb9f3afa3
senate,openset,H000601,"William F Hagerty, IV",senate,Republican,,"['Joint Committee on Printing', 'SSAP14', 'SSAP16', 'SSAP19', 'SSAP20', 'SSAP22', 'SSAP23', 'SSBK05', 'SSBK08', 'SSBK13', 'SSFR06', 'SSFR14', 'SSFR15', 'Senate Committee on Appropriations', 'Senate Committee on Banking, Housing, and Urban Affairs', 'Senate Committee on Foreign Relations', 'Senate Committee on Rules and Administration']",True,2021-01-26,2021-02-19,,"Vroom, Inc.",Stock,Purchase,"$1,001 - $15,000",8000.5,Self,,https://efdsearch.senate.gov/search/view/ptr/823ec2b1-9e0c-4b13-bf35-81722c1a083c/,71767fa4613a387fd738919d581c4a7a72c6abe4fe7fe58dc7dddf827f51cbc2
senate,openset,H000601,"William F Hagerty, IV",senate,Republican,,"['Joint Committee on Printing', 'SSAP14', 'SSAP16', 'SSAP19', 'SSAP20', 'SSAP22', 'SSAP23', 'SSBK05', 'SSBK08', 'SSBK13', 'SSFR06', 'SSFR14', 'SSFR15', 'Senate Committee on Appropriations', 'Senate Committee on Banking, Housing, and Urban Affairs', 'Senate Committee on Foreign Relations', 'Senate Committee on Rules and Administration']",True,2021-01-08,2021-02-19,"<A HREF=""HTTPS://FINANCE.YAHOO.COM/Q?S=VRM"" TARGET=""_BLANK"">VRM</A>","Vroom, Inc.",Stock,Purchase,"$1,001 - $15,000",8000.5,Self,,https://efdsearch.senate.gov/search/view/ptr/823ec2b1-9e0c-4b13-bf35-81722c1a083c/,fae5e68eb9ebed26bd85fab4bcb3330522fba4ace8b8d3b6cd95f7478bd0fe23
senate,openset,H000273,John W Hickenlooper,senate,Democrat,,"['SSCM33', 'SSCM34', 'SSCM35', 'SSCM37', 'SSEG01', 'SSEG03', 'SSEG07', 'SSHR11', 'SSHR12', 'Senate Committee on Commerce, Science, and Transportation', 'Senate Committee on Energy and Natural Resources', 'Senate Committee on Health, Education, Labor, and Pensions', 'Senate Committee on Small Business and Entrepreneurship']",False,2021-01-22,2021-02-19,"<A HREF=""HTTPS://FINANCE.YAHOO.COM/Q?S=LMACU"" TARGET=""_BLANK"">LMACU</A>",Liberty Media Acquisition Corporation,Stock,Purchase,"$50,001 - $100,000",75000.5,Spouse,,https://efdsearch.senate.gov/search/view/ptr/f8e43fad-614c-4bc7-b13c-8e075c40869d/,f3e8fd968efb4e1f0fe8b1a6d5eb5b2688cb35962f879ed8fff4ab3461798385
