asset_type,exact_match,date_mismatch,no_match,non_equity,total,quiver_has_pct
(inconnu),0,8,35,0,43,18.6
Commodities/Futures Contract,0,0,0,30,30,
Corporate Bond,0,3,2,5,10,60.0
Municipal Security,0,4,0,102,106,100.0
Non-Public Stock,0,0,0,4,4,
Option,126,0,0,35,161,100.0
Other,52,0,10,80,142,83.9
Stock,598,7,55,2,662,91.7
Stock Option,0,0,0,1,1,
