scope,metric,value
digital,common_members,49.0
digital,quiver_amendment_dups,801.0
digital,ours_tickerizable,1560.0
digital,quiver,1580.0
digital,matched,1558.0
digital,only_quiver,22.0
digital,only_ours,2.0
digital,coverage_pct,98.6
ocr,common_members,21.0
ocr,quiver_amendment_dups,801.0
ocr,ours_tickerizable,1876.0
ocr,quiver,1737.0
ocr,matched,700.0
ocr,only_quiver,1037.0
ocr,only_ours,1176.0
ocr,coverage_pct,40.3
both,common_members,50.0
both,quiver_amendment_dups,801.0
both,ours_tickerizable,3436.0
both,quiver,2722.0
both,matched,2258.0
both,only_quiver,464.0
both,only_ours,1178.0
both,coverage_pct,83.0
