asset_type,exact_match,date_mismatch,no_match,non_equity,total,quiver_has_pct
(inconnu),1778,61,861,1221,3921,68.1
Corporate Bond,0,0,0,185,185,
Gov Security,0,0,1,29,30,0.0
Mutual Fund,7,3,141,87,238,6.6
Stock,1200,730,3984,441,6355,32.6
