cluster,exact_match,date_mismatch,no_match,non_equity,total,quiver_has_pct
A_tape_droit,0,0,11,14,25,0.0
B_tape_tourne,1328,1093,2902,1058,6381,45.5
C_manuscrit,93,143,268,32,536,46.8
