asset_type,exact_match,date_mismatch,no_match,non_equity,total,quiver_has_pct
Corporate Bond,0,0,3,31,34,0.0
Cryptocurrency,0,0,0,1,1,
Municipal Security,0,0,0,269,269,
Non-Public Stock,0,0,0,4,4,
Option,0,9,23,1,33,28.1
Other,2,0,9,468,479,18.2
Stock,539,24,36,2,601,94.0
