year,ok,n_records,n_ptr
2013,True,2209,8
2014,True,2788,708
2015,True,2297,728
2016,True,2704,765
2017,True,3488,801
2018,True,3443,830
2019,True,3636,683
2020,True,2930,733
2021,True,2718,680
2022,True,2743,624
2023,True,2379,460
2024,True,2256,451
2025,True,2631,515
2026,True,1223,262
