asset_type,exact_match,date_mismatch,no_match,non_equity,total,quiver_has_pct
(inconnu),0,0,40,3,43,0.0
Commodities/Futures Contract,0,0,0,40,40,
Corporate Bond,0,0,12,13,25,0.0
Cryptocurrency,1,0,2,0,3,33.3
Municipal Security,0,0,2,52,54,0.0
Non-Public Stock,0,0,0,6,6,
Option,28,0,0,21,49,100.0
Other,137,1,50,81,269,73.4
Stock,496,1,47,5,549,91.4
Stock Option,61,0,0,2,63,100.0
