field,agreement_pct,n_pairs,note
sense,96.4,563,désaccords = artefact merge option-vs-action même jour (cf. AUDIT_SENAT.md)
date_traded,99.8,521,appariement sur Quiver Traded = vraie date de trade
date_filed,0.2,521,Filed ≠ date de trade → ne pas apparier dessus
amount_bucket,96.1,563,Quiver Trade_Size_USD = borne basse exacte de la fourchette
