scope,metric,value
digital,common_members,61.0
digital,quiver_amendment_dups,1248.0
digital,ours_tickerizable,3377.0
digital,quiver,3445.0
digital,matched,3308.0
digital,only_quiver,137.0
digital,only_ours,69.0
digital,coverage_pct,96.0
ocr,common_members,7.0
ocr,quiver_amendment_dups,1248.0
ocr,ours_tickerizable,3858.0
ocr,quiver,4201.0
ocr,matched,2820.0
ocr,only_quiver,1381.0
ocr,only_ours,1038.0
ocr,coverage_pct,67.1
both,common_members,66.0
both,quiver_amendment_dups,1248.0
both,ours_tickerizable,7235.0
both,quiver,7567.0
both,matched,6128.0
both,only_quiver,1439.0
both,only_ours,1107.0
both,coverage_pct,81.0
