bioguide_id,nous,quiver,delta
A000372,189,139,50
A000378,3,1,2
B000574,39,18,21
B000668,1,0,1
B000740,1,1,0
B001248,53,49,4
B001291,4,4,0
B001292,7,0,7
B001299,1,0,1
B001311,13,0,13
C001068,8,3,5
C001078,12,12,0
C001101,6,2,4
C001103,5,0,5
C001114,120,0,120
C001120,1,1,0
C001129,4,0,4
D000399,24,24,0
D000617,63,2,61
D000624,9,7,2
D000628,16,0,16
E000296,6,6,0
E000298,3,0,3
F000450,99,71,28
F000462,226,224,2
F000469,1,1,0
F000472,62,51,11
F000474,1,0,1
G000061,7,4,3
G000576,2,0,2
G000583,587,568,19
G000590,27,23,4
G000591,64,50,14
G000599,1290,1179,111
H001047,1,0,1
H001072,14,11,3
H001082,168,132,36
J000020,42,41,1
J000308,2,0,2
J000309,41,39,2
K000009,1,1,0
K000375,22,15,7
K000398,28,24,4
L000397,101,98,3
L000559,3,3,0
L000560,43,37,6
L000562,4,0,4
L000566,5,5,0
L000589,2,0,2
L000590,10,11,-1
M000871,1,0,1
M001135,71,32,39
M001159,2,0,2
M001163,2,0,2
M001196,10,5,5
M001204,7,5,2
M001205,12,11,1
M001212,1,0,1
M001217,33,25,8
M001220,6,5,1
M001227,1,1,0
N000147,4,0,4
N000189,60,57,3
P000197,20,17,3
P000597,1,0,1
P000608,33,0,33
R000305,4,4,0
R000609,3,0,3
S000168,26,13,13
S000250,70,45,25
S000929,4,4,0
S001148,22,22,0
S001172,4,0,4
S001180,0,3,-3
S001189,1,1,0
S001190,3,0,3
S001205,2,2,0
S001207,1,1,0
S001209,1,1,0
S001211,188,187,1
S001214,3,3,0
T000483,7,0,7
T000488,26,16,10
W000797,3,2,1
W000804,60,39,21
Y000067,11,11,0
