asset_type,exact_match,date_mismatch,no_match,non_equity,total,quiver_has_pct
Corporate Bond,0,0,3,51,54,0.0
Municipal Security,0,0,0,142,142,
Non-Public Stock,0,0,0,6,6,
Option,70,0,0,1,71,100.0
Other,31,0,9,120,160,77.5
Stock,573,5,9,10,597,98.5
