scope,metric,value
digital,common_senators,21.0
digital,quiver_amendment_dups,111.0
digital,ours_tickerizable,564.0
digital,quiver,560.0
digital,matched,558.0
digital,only_quiver,2.0
digital,only_ours,6.0
digital,coverage_pct,99.6
ocr,common_senators,1.0
ocr,quiver_amendment_dups,111.0
ocr,ours_tickerizable,0.0
ocr,quiver,1.0
ocr,matched,0.0
ocr,only_quiver,1.0
ocr,only_ours,0.0
ocr,coverage_pct,0.0
both,common_senators,21.0
both,quiver_amendment_dups,111.0
both,ours_tickerizable,571.0
both,quiver,560.0
both,matched,558.0
both,only_quiver,2.0
both,only_ours,13.0
both,coverage_pct,99.6
