asset_type,exact_match,date_mismatch,no_match,non_equity,total,quiver_has_pct
(inconnu),0,0,42,1,43,0.0
Corporate Bond,0,0,11,25,36,0.0
Municipal Security,0,0,8,49,57,0.0
Non-Public Stock,0,0,0,17,17,
Option,1,0,0,3,4,100.0
Other,1,1,53,57,112,3.6
Stock,1036,48,317,26,1427,77.4
