bioguide,name,nous,quiver,delta,no_ticker,ocr,verdict
T000278,Thomas H Tuberville,414,348,66,65,0,nous_plus
C000174,Thomas R Carper,188,126,62,62,0,nous_plus
M001190,Markwayne Mullin,139,111,28,28,0,nous_plus
S001198,Daniel S Sullivan,64,47,17,0,0,nous_plus
S001217,Rick Scott,33,3,30,30,0,nous_plus
C001047,Shelley M Capito,33,28,5,3,0,nous_plus
W000805,Mark R Warner,31,1,30,30,0,nous_plus
R000618,John P Ricketts,30,25,5,5,0,nous_plus
W000802,Sheldon Whitehouse,26,26,0,0,0,concordant
H000273,John W Hickenlooper,25,25,0,0,0,concordant
W000779,Ron L Wyden,14,0,14,1,0,quiver_sans_donnee
B001236,John Boozman,14,14,0,0,0,concordant
P000595,Gary C Peters,12,5,7,7,0,nous_plus
S001203,Tina Smith,6,6,0,0,0,concordant
K000383,"Angus S King, Jr.",5,4,1,1,0,nous_plus
M000355,"A. Mitchell McConnell, Jr.",5,4,1,1,0,nous_plus
R000608,Jacklyn S Rosen,4,4,0,0,0,concordant
H000601,"William F Hagerty, IV",3,0,3,2,0,quiver_sans_donnee
B001319,Katie Britt,2,0,2,2,0,quiver_sans_donnee
C001088,Christopher A Coons,2,0,2,2,0,quiver_sans_donnee
C001035,Susan M Collins,2,1,1,1,0,nous_plus
B000575,Roy Blunt,1,0,1,1,0,quiver_sans_donnee
M001183,"Joseph Manchin, III",1,0,1,1,0,quiver_sans_donnee
T000476,Thomas R Tillis,1,1,0,0,0,concordant
B001267,Michael F Bennet,1,0,1,1,0,quiver_sans_donnee
M001198,Roger W Marshall,1,0,1,1,0,quiver_sans_donnee
C000127,Maria Cantwell,1,1,0,0,0,concordant
D000622,Ladda Tammy Duckworth,1,1,0,0,0,concordant
C001114,John Curtis,0,114,-114,0,0,quiver_seul
B001299,James E Hon Banks,0,1,-1,0,0,quiver_seul
V000137,J.D. Vance,0,1,-1,0,0,quiver_seul
