scope,field,agreement_pct,n_pairs
digital,sense,95.2,5031
digital,date_traded,99.6,4406
digital,date_filed,1.0,4406
digital,amount_bucket,94.4,5031
ocr,sense,91.7,1548
ocr,date_traded,56.0,1494
ocr,date_filed,1.7,1494
ocr,amount_bucket,75.7,1548
both,sense,94.4,6579
both,date_traded,88.6,5893
both,date_filed,1.2,5893
both,amount_bucket,90.0,6579
