scope,metric,value
digital,common_members,88.0
digital,quiver_amendment_dups,1183.0
digital,ours_tickerizable,4467.0
digital,quiver,4406.0
digital,matched,4387.0
digital,only_quiver,19.0
digital,only_ours,80.0
digital,coverage_pct,99.6
ocr,common_members,11.0
ocr,quiver_amendment_dups,1183.0
ocr,ours_tickerizable,3846.0
ocr,quiver,1815.0
ocr,matched,837.0
ocr,only_quiver,978.0
ocr,only_ours,3009.0
ocr,coverage_pct,46.1
both,common_members,96.0
both,quiver_amendment_dups,1183.0
both,ours_tickerizable,8311.0
both,quiver,5893.0
both,matched,5222.0
both,only_quiver,671.0
both,only_ours,3089.0
both,coverage_pct,88.6
