cluster,exact_match,date_mismatch,no_match,non_equity,total,quiver_has_pct
A_tape_droit,15,7,16,19,57,57.9
B_tape_tourne,4608,3559,1241,1375,10783,86.8
C_manuscrit,3,20,34,3,60,40.4
