BioGuideID,Name,_ticker,_td,Transaction
S001180,Kurt Schrader,VRNG,2022-12-22,Purchase
S001180,Kurt Schrader,ELN,2022-12-09,Sale
S001180,Kurt Schrader,MSCI,2022-12-06,Sale
