doc_id,last,first,filing_type,state_district,filing_date_raw,disclosure_date,declarant_name,url_pdf
20023153,Burgess,Michael C.,P,TX26,6/15/2023,2023-06-15,Michael C. Burgess,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2023/20023153.pdf
20023340,Burgess,Michael C.,P,TX26,7/18/2023,2023-07-18,Michael C. Burgess,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2023/20023340.pdf
20023382,Burgess,Michael C.,P,TX26,8/8/2023,2023-08-08,Michael C. Burgess,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2023/20023382.pdf
20023612,Burgess,Michael C.,P,TX26,9/5/2023,2023-09-05,Michael C. Burgess,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2023/20023612.pdf
20023623,Burgess,Michael C.,P,TX26,9/6/2023,2023-09-06,Michael C. Burgess,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2023/20023623.pdf
20023786,Burgess,Michael C.,P,TX26,10/3/2023,2023-10-03,Michael C. Burgess,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2023/20023786.pdf
20024169,Burgess,Michael C.,P,TX26,12/18/2023,2023-12-18,Michael C. Burgess,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2023/20024169.pdf
8219414,Burlison,Eric,P,MO07,3/1/2023,2023-03-01,Eric Burlison,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2023/8219414.pdf
20022894,Carter,Earl Leroy,P,GA01,5/9/2023,2023-05-09,Earl Leroy Carter,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2023/20022894.pdf
20022509,Clark,Katherine M.,P,MA05,3/6/2023,2023-03-06,Katherine M. Clark,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2023/20022509.pdf
20022917,Clark,Katherine M.,P,MA05,6/8/2023,2023-06-08,Katherine M. Clark,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2023/20022917.pdf
20023950,Clark,Katherine M.,P,MA05,11/6/2023,2023-11-06,Katherine M. Clark,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2023/20023950.pdf
20022368,Cohen,Steve,P,TN09,2/4/2023,2023-02-04,Steve Cohen,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2023/20022368.pdf
20022428,Cohen,Steve,P,TN09,2/13/2023,2023-02-13,Steve Cohen,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2023/20022428.pdf
20023162,Cohen,Steve,P,TN09,6/26/2023,2023-06-26,Steve Cohen,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2023/20023162.pdf
20023392,Cohen,Steve,P,TN09,7/28/2023,2023-07-28,Steve Cohen,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2023/20023392.pdf
8219430,Cole,Tom,P,OK04,3/7/2023,2023-03-07,Tom Cole,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2023/8219430.pdf
8219893,Cole,Tom,P,OK04,8/10/2023,2023-08-10,Tom Cole,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2023/8219893.pdf
20024042,Collins,Michael A.,P,GA10,12/22/2023,2023-12-22,Michael A. Collins,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2023/20024042.pdf
20022309,Connolly,Gerald E.,P,VA11,1/24/2023,2023-01-24,Gerald E. Connolly,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2023/20022309.pdf
20022660,Connolly,Gerald E.,P,VA11,4/4/2023,2023-04-04,Gerald E. Connolly,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2023/20022660.pdf
