year,filing_type,filing_date,doc_id,last_name,first_name,state_dst,pdf_url
2014,P,8/28/2014,20001575,Boehner,John A.,OH08,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2014/20001575.pdf
2014,P,9/24/2014,20001747,Boehner,John A.,OH08,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2014/20001747.pdf
2014,P,10/10/2014,20001843,Boehner,John A.,OH08,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2014/20001843.pdf
2014,P,11/21/2014,20002095,Boehner,John A.,OH08,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2014/20002095.pdf
2014,P,7/9/2014,20000606,Brooks,Mo,AL05,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2014/20000606.pdf
2014,P,9/2/2014,20001609,Brooks,Mo,AL05,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2014/20001609.pdf
2014,P,9/26/2014,20001769,Brooks,Mo,AL05,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2014/20001769.pdf
2014,P,10/30/2014,20001977,Brooks,Mo,AL05,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2014/20001977.pdf
2014,P,11/11/2014,20002031,Brooks,Mo,AL05,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2014/20002031.pdf
2014,P,4/28/2014,20000780,Brooks,Susan W.,IN05,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2014/20000780.pdf
2014,P,8/4/2014,20001428,Brooks,Susan W.,IN05,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2014/20001428.pdf
2014,P,12/10/2014,20002180,Buchanan,Vern,FL16,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2014/20002180.pdf
2014,P,2/28/2014,8214214,Buchanan,Vern,FL16,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2014/8214214.pdf
2014,P,4/25/2014,8214582,Buchanan,Vern,FL16,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2014/8214582.pdf
2014,P,5/13/2014,20000933,Buchanan,Vern,FL16,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2014/20000933.pdf
2014,P,6/12/2014,20001090,Buchanan,Vern,FL16,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2014/20001090.pdf
2014,P,7/14/2014,20001312,Buchanan,Vern,FL16,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2014/20001312.pdf
2014,P,9/15/2014,20001674,Buchanan,Vern,FL16,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2014/20001674.pdf
2014,P,10/15/2014,20001885,Buchanan,Vern,FL16,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2014/20001885.pdf
2014,P,11/13/2014,20002042,Buchanan,Vern,FL16,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2014/20002042.pdf
2014,P,4/14/2014,20000708,Burgess,Michael C.,TX26,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2014/20000708.pdf
2014,P,8/1/2014,20000868,Burgess,Michael C.,TX26,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2014/20000868.pdf
2014,P,2/6/2015,9106006,Camp,Dave,MI04,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2014/9106006.pdf
2014,P,2/11/2014,8214023,Camp,Dave,MI04,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2014/8214023.pdf
