bioguide_id,name,docs,n_ocr,n_quiver,delta,verdict
R000586,James B. Renacci,23,906,0,906,quiver_sans_donnee
M001157,Michael T. McCaul,1,369,3361,-2992,ocr_souscompte
S001180,Kurt Schrader,11,287,0,287,quiver_sans_donnee
D000620,John K. Delaney,23,178,0,178,quiver_sans_donnee
R000582,David P. Roe,10,128,0,128,quiver_sans_donnee
P000591,Tom Price,5,108,0,108,quiver_sans_donnee
C001080,Judy Chu,3,66,0,66,quiver_sans_donnee
B001273,Diane Black,10,58,0,58,quiver_sans_donnee
R000395,Harold Dallas Rogers,11,51,0,51,quiver_sans_donnee
L000564,Doug Lamborn,8,46,0,46,quiver_sans_donnee
F000459,"Charles J. ""Chuck"" Fleischmann",9,41,0,41,quiver_sans_donnee
L000576,Billy Long,5,40,0,40,quiver_sans_donnee
W000800,Peter Welch,5,33,0,33,quiver_sans_donnee
S001150,Adam B. Schiff,8,30,0,30,quiver_sans_donnee
L000557,John B. Larson,12,28,0,28,quiver_sans_donnee
C001102,Curtis J. Clawson,10,22,0,22,quiver_sans_donnee
F000372,Rodney P. Frelinghuysen,14,22,0,22,quiver_sans_donnee
K000379,Joseph P. Kennedy,6,14,0,14,quiver_sans_donnee
S001187,Steve Stivers,3,7,0,7,quiver_sans_donnee
W000812,Ann Wagner,3,5,0,5,quiver_sans_donnee
D000613,Robert James Dold,2,3,0,3,quiver_sans_donnee
D000604,Charles W. Dent,2,3,0,3,quiver_sans_donnee
C001092,Chris Collins,2,2,0,2,quiver_sans_donnee
T000473,Kyle Mark Takai,1,2,0,2,quiver_sans_donnee
B001257,Gus M. Bilirakis,2,2,0,2,quiver_sans_donnee
J000295,David P. Joyce,1,1,0,1,quiver_sans_donnee
H001065,George Holding,1,1,0,1,quiver_sans_donnee
C001045,Ander Crenshaw,1,1,0,1,quiver_sans_donnee
