scope,metric,value
digital,common_members,66.0
digital,quiver_amendment_dups,1474.0
digital,ours_tickerizable,2602.0
digital,quiver,2612.0
digital,matched,2589.0
digital,only_quiver,23.0
digital,only_ours,13.0
digital,coverage_pct,99.1
ocr,common_members,1.0
ocr,quiver_amendment_dups,1474.0
ocr,ours_tickerizable,386.0
ocr,quiver,2168.0
ocr,matched,125.0
ocr,only_quiver,2043.0
ocr,only_ours,261.0
ocr,coverage_pct,5.8
both,common_members,67.0
both,quiver_amendment_dups,1474.0
both,ours_tickerizable,2988.0
both,quiver,4780.0
both,matched,2714.0
both,only_quiver,2066.0
both,only_ours,274.0
both,coverage_pct,56.8
