asset_type,exact_match,date_mismatch,no_match,non_equity,total,quiver_has_pct
(inconnu),2932,53,426,2023,5434,87.5
Corporate Bond,0,0,0,21,21,
Gov Security,0,3,11,34,48,21.4
Mutual Fund,0,6,92,78,176,6.1
Stock,156,135,1458,134,1883,16.6
