asset_type,exact_match,date_mismatch,no_match,non_equity,total,quiver_has_pct
(inconnu),197,19,46,932,1194,82.4
AB,2,0,1,2,5,66.7
CS,25,1,1,44,71,96.3
Corporate Bond,0,0,0,6,6,
Gov Security,4,0,4,471,479,50.0
HN,0,0,0,18,18,
Mutual Fund,26,7,106,117,256,23.7
OL,0,0,0,7,7,
Option,36,0,0,0,36,100.0
Other,46,0,0,179,225,100.0
Other Investment,0,0,0,3,3,
PS,0,0,0,22,22,
Stock,6527,807,421,413,8168,94.6
