bioguide,name,n_tk_nous,n_tk_quiver,inter,nous_seul,quiver_seul,quiver_seul_list
P000612,"David A Perdue , Jr",83,68,67,16,1,DD_PA
C000174,Thomas R Carper,104,15,15,89,0,
M001111,Patty Murray,85,85,85,0,0,
W000802,Sheldon Whitehouse,75,67,67,8,0,
C001047,Shelley M Capito,77,70,70,7,0,
R000307,Pat Roberts,25,23,23,2,0,
T000461,Patrick J Toomey,29,16,12,17,4,"ETP,MPLX,^MWE,^RGP"
I000024,James M Inhofe,36,36,36,0,0,
C001075,William Cassidy,38,15,15,23,0,
H001061,John Hoeven,31,31,31,0,0,
R000122,John F Reed,23,22,22,1,0,
C001035,Susan M Collins,20,20,20,0,0,
K000383,"Angus S King, Jr.",8,8,8,0,0,
P000595,Gary C Peters,7,7,7,0,0,
W000805,Mark R Warner,4,3,3,1,0,
D000622,Tammy Duckworth,13,14,13,0,1,GLW
B001267,Michael F Bennet,2,2,1,1,1,LVLT
T000476,Thomas R Tillis,1,1,1,0,0,
M001183,"Joseph Manchin, III",1,1,1,0,0,
C001056,John Cornyn,1,1,1,0,0,
