scope,metric,value
digital,common_senators,20.0
digital,quiver_amendment_dups,76.0
digital,ours_tickerizable,1102.0
digital,quiver,974.0
digital,matched,966.0
digital,only_quiver,8.0
digital,only_ours,136.0
digital,coverage_pct,99.2
ocr,common_senators,1.0
ocr,quiver_amendment_dups,76.0
ocr,ours_tickerizable,0.0
ocr,quiver,3.0
ocr,matched,0.0
ocr,only_quiver,3.0
ocr,only_ours,0.0
ocr,coverage_pct,0.0
both,common_senators,20.0
both,quiver_amendment_dups,76.0
both,ours_tickerizable,1258.0
both,quiver,974.0
both,matched,966.0
both,only_quiver,8.0
both,only_ours,292.0
both,coverage_pct,99.2
