bioguide_id,declarant_name,chamber,party,state_district,committee_membership,committees_key_flag,transaction_date,disclosure_date,date_confidence,ticker,asset_description,asset_type,sector_gics,etf_proxy,operation_type,amount_range,amount_midpoint,amount_split_flag,owner,doc_id,source_url,natural_key_hash,provenance,ticker_source,sector_source,occurrence_index,years_in_office
M000355,"A. Mitchell McConnell, Jr.",senate,Republican,KY,"Joint Committee of Congress on the Library; Joint Committee on Printing; SSAF13; SSAF15; SSAF16; SSAP01; SSAP02; SSAP17; SSAP19; SSAP20; SSAP22; Senate Committee on Agriculture, Nutrition, and Forestry; Senate Committee on Appropriations; Senate Committee on Rules and Administration",False,2016-06-09,2017-05-15,implausible,IR,IR-Ingersoll-Rand Plc,Stock,Industrials,XLI,Sale (Partial),"$50,001 - $100,000",75000.5,False,Spouse,43b7eaea-8886-47c7-ae19-f714dacbd020,https://efdsearch.senate.gov/search/view/ptr/43b7eaea-8886-47c7-ae19-f714dacbd020/,5f1a41122f539cb3f4d181d1f19c1f4c23699020f663806dd69373128ca49802,senate-efd-electronic,llm,yfinance,0,31
M000355,"A. Mitchell McConnell, Jr.",senate,Republican,KY,"Joint Committee of Congress on the Library; Joint Committee on Printing; SSAF13; SSAF15; SSAF16; SSAP01; SSAP02; SSAP17; SSAP19; SSAP20; SSAP22; Senate Committee on Agriculture, Nutrition, and Forestry; Senate Committee on Appropriations; Senate Committee on Rules and Administration",False,2017-02-02,2017-05-15,implausible,IR,IR-Ingersoll-Rand Plc,Stock,Industrials,XLI,Sale (Partial),"$50,001 - $100,000",75000.5,False,Spouse,43b7eaea-8886-47c7-ae19-f714dacbd020,https://efdsearch.senate.gov/search/view/ptr/43b7eaea-8886-47c7-ae19-f714dacbd020/,15f8e1df29307256d51ec7868789bcd2f9ca3dd6fd93b8b99565e0c31a30d506,senate-efd-electronic,llm,yfinance,0,32
M000355,"A. Mitchell McConnell, Jr.",senate,Republican,KY,"Joint Committee of Congress on the Library; Joint Committee on Printing; SSAF13; SSAF15; SSAF16; SSAP01; SSAP02; SSAP17; SSAP19; SSAP20; SSAP22; Senate Committee on Agriculture, Nutrition, and Forestry; Senate Committee on Appropriations; Senate Committee on Rules and Administration",False,2017-04-21,2017-05-15,plausible,,"AMCP Security Holdings, L.P. Incentive Units (parent of Centerra)",Stock,,,Sale (Full),"$15,001 - $50,000",32500.5,False,Spouse,43b7eaea-8886-47c7-ae19-f714dacbd020,https://efdsearch.senate.gov/search/view/ptr/43b7eaea-8886-47c7-ae19-f714dacbd020/,355c7d843c5d3980c994eeda64adb747a19071a8984fd1e108fe3c52ecd9f930,senate-efd-electronic,none,none,0,32
K000383,"Angus S King, Jr.",senate,Independent,ME,SSAS13; SSAS14; SSAS16; SSEG01; SSEG03; SSEG04; Senate Committee on Armed Services; Senate Committee on Energy and Natural Resources; Senate Committee on Veterans' Affairs; Senate Select Committee on Intelligence,True,2017-02-07,2017-03-13,plausible,,Muni Bond Biddeford ME  Rate/Coupon: 3.00 %  Matures: 10/01/2028,Municipal Security,,,Purchase,"$15,001 - $50,000",32500.5,False,Spouse,2368ffd1-ae27-4cea-bed8-f64f86ce78ca,https://efdsearch.senate.gov/search/view/ptr/2368ffd1-ae27-4cea-bed8-f64f86ce78ca/,b22b25de77543f97cff3ffe0e2807a3a86a3e8193d865c33b5c3f69c7dcb9de2,senate-efd-electronic,none,none,0,4
K000383,"Angus S King, Jr.",senate,Independent,ME,SSAS13; SSAS14; SSAS16; SSEG01; SSEG03; SSEG04; Senate Committee on Armed Services; Senate Committee on Energy and Natural Resources; Senate Committee on Veterans' Affairs; Senate Select Committee on Intelligence,True,2017-03-16,2017-04-18,plausible,,Maine School Admin GO Bond  Rate/Coupon: 3.00 %  Matures: 11/01/2028,Municipal Security,,,Purchase,"$15,001 - $50,000",32500.5,False,Spouse,4e7bb61b-4909-40ed-ac1b-b60fc553558f,https://efdsearch.senate.gov/search/view/ptr/4e7bb61b-4909-40ed-ac1b-b60fc553558f/,950329e4e87a1d34edb84bda5c412e864b453f15a80aa457e3801c22b1d80043,senate-efd-electronic,none,none,0,4
K000383,"Angus S King, Jr.",senate,Independent,ME,SSAS13; SSAS14; SSAS16; SSEG01; SSEG03; SSEG04; Senate Committee on Armed Services; Senate Committee on Energy and Natural Resources; Senate Committee on Veterans' Affairs; Senate Select Committee on Intelligence,True,2017-04-27,2017-05-26,plausible,,MUNI BOND AUGUSTA ME GO  Rate/Coupon: 2.25%  Matures: 10/01/2026,Municipal Security,,,Purchase,"$15,001 - $50,000",32500.5,False,Spouse,0cf9047d-6e04-49d6-8bd6-a1044edddd0e,https://efdsearch.senate.gov/search/view/ptr/0cf9047d-6e04-49d6-8bd6-a1044edddd0e/,4845541ef73f9818a0fedd5f3d000cf5e642bc9d303032bef62f0aa318bdd48c,senate-efd-electronic,none,none,0,4
K000383,"Angus S King, Jr.",senate,Independent,ME,SSAS13; SSAS14; SSAS16; SSEG01; SSEG03; SSEG04; Senate Committee on Armed Services; Senate Committee on Energy and Natural Resources; Senate Committee on Veterans' Affairs; Senate Select Committee on Intelligence,True,2017-05-03,2017-06-26,plausible,DIS,The Walt Disney Company,Stock,Communication Services,XLC,Sale (Partial),"$1,001 - $15,000",8000.5,False,Spouse,de110889-435b-4838-94d6-872fed00db5e,https://efdsearch.senate.gov/search/view/ptr/de110889-435b-4838-94d6-872fed00db5e/,de88cd71302dad092c29c86651234b458719efa96bf3e7317cf156174ba25ec9,senate-efd-electronic,explicit,yfinance,0,4
K000383,"Angus S King, Jr.",senate,Independent,ME,SSAS13; SSAS14; SSAS16; SSEG01; SSEG03; SSEG04; Senate Committee on Armed Services; Senate Committee on Energy and Natural Resources; Senate Committee on Veterans' Affairs; Senate Select Committee on Intelligence,True,2017-05-03,2017-06-26,plausible,TGT,Target Corporation,Stock,Consumer Staples,XLP,Sale (Full),"$1,001 - $15,000",8000.5,False,Spouse,de110889-435b-4838-94d6-872fed00db5e,https://efdsearch.senate.gov/search/view/ptr/de110889-435b-4838-94d6-872fed00db5e/,df3dbec519014d6c8d64a9473c7566d7b187483868e95323237d34c33e00fda4,senate-efd-electronic,explicit,yfinance,0,4
K000383,"Angus S King, Jr.",senate,Independent,ME,SSAS13; SSAS14; SSAS16; SSEG01; SSEG03; SSEG04; Senate Committee on Armed Services; Senate Committee on Energy and Natural Resources; Senate Committee on Veterans' Affairs; Senate Select Committee on Intelligence,True,2017-06-15,2017-07-20,plausible,,"SUB-ASSET:LIGHTHOUSE IMAGING LLC  Company: LIGHTHOUSE IMAGING LLC  (PORTLAND, ME)  Description: MEDICAL OPTICS ENGINEERING",Non-Public Stock,,,Sale (Full),"$1,001 - $15,000",8000.5,False,Self,a7674ea9-d5dd-4d57-85a8-c2f943222216,https://efdsearch.senate.gov/search/view/ptr/a7674ea9-d5dd-4d57-85a8-c2f943222216/,e7c72e656104f95afa51fd2fa16f72e8b2fc953a75e10f4eddf622eb5a60fd66,senate-efd-electronic,none,none,0,4
K000383,"Angus S King, Jr.",senate,Independent,ME,SSAS13; SSAS14; SSAS16; SSEG01; SSEG03; SSEG04; Senate Committee on Armed Services; Senate Committee on Energy and Natural Resources; Senate Committee on Veterans' Affairs; Senate Select Committee on Intelligence,True,2017-06-15,2017-07-20,plausible,,"ANANIA & ASSOCIATES INVESTMENT CO CLASS B MEMBERSHIP SHARES  Company: ANANIA & ASSOCIATES INVESTMENT CO LLC  (PORTLAND, ME)  Description: VENTURE CAPITAL CORPORATION",Non-Public Stock,,,Sale (Full),"$50,001 - $100,000",75000.5,False,Self,a7674ea9-d5dd-4d57-85a8-c2f943222216,https://efdsearch.senate.gov/search/view/ptr/a7674ea9-d5dd-4d57-85a8-c2f943222216/,91d2f7e4c615b4a4426f61c51455397f9119b69f465528e57d430d60559027fd,senate-efd-electronic,none,none,0,4
