asset_type,exact_match,date_mismatch,no_match,non_equity,total,quiver_has_pct
(inconnu),222,37,87,926,1272,74.9
AB,0,0,0,2,2,
CS,0,0,0,69,69,
CT,0,0,0,20,20,
Corporate Bond,0,0,0,2,2,
Gov Security,0,0,13,324,337,0.0
HN,1,0,0,44,45,100.0
Mutual Fund,12,2,110,121,245,11.3
OL,0,0,0,6,6,
Option,28,0,0,0,28,100.0
Other,17,0,0,91,108,100.0
Other Investment,0,0,0,3,3,
PS,0,0,0,14,14,
Stock,5499,1298,481,224,7502,93.4
