cluster,exact_match,date_mismatch,no_match,non_equity,total,quiver_has_pct
A_tape_droit,15,7,16,19,57,57.9
B_tape_tourne,4609,4132,1428,1578,11747,86.0
C_manuscrit,3,20,33,3,59,41.1
