asset_type,exact_match,date_mismatch,no_match,non_equity,total,quiver_has_pct
(inconnu),331,121,176,867,1495,72.0
AB,1,0,0,14,15,100.0
CS,13,0,0,117,130,100.0
Corporate Bond,3,4,0,8,15,100.0
ET,5,0,0,0,5,100.0
Gov Security,0,0,0,244,244,
HN,0,0,0,12,12,
Mutual Fund,31,37,138,62,268,33.0
OL,2,0,0,9,11,100.0
Option,115,7,82,0,204,59.8
Other,23,0,0,88,111,100.0
Other Investment,1,0,0,2,3,100.0
PS,1,0,0,11,12,100.0
SA,1,0,0,0,1,100.0
Stock,6961,4050,1286,643,12940,89.5
