asset_type,exact_match,date_mismatch,no_match,non_equity,total,quiver_has_pct
(inconnu),0,0,71,24,95,0.0
Corporate Bond,4,0,20,30,54,16.7
Municipal Security,0,0,6,39,45,0.0
Non-Public Stock,0,0,0,13,13,
Option,3,0,0,1,4,100.0
Other,7,0,25,115,147,21.9
Stock,735,151,503,39,1428,63.8
Stock Option,0,0,0,1,1,
