congress,bioguide_id,committee_membership
113,B000944,"Senate Committee on Agriculture, Nutrition, and Forestry; Senate Committee on Agriculture, Nutrition, and Forestry — Commodities, Markets, Trade and Risk Management; Senate Committee on Agriculture, Nutrition, and Forestry — Jobs, Rural Economic Growth and Energy Innovation; Senate Committee on Agriculture, Nutrition, and Forestry — Nutrition, Specialty Crops, Food and Agricultural Research; Senate Committee on Banking, Housing, and Urban Affairs; Senate Committee on Banking, Housing, and Urban Affairs — Financial Institutions and Consumer Protection; Senate Committee on Banking, Housing, and Urban Affairs — Housing, Transportation, and Community Development; Senate Committee on Banking, Housing, and Urban Affairs — National Security and International Trade and Finance; Senate Committee on Finance; Senate Committee on Finance — Fiscal Responsibility and Economic Growth; Senate Committee on Finance — International Trade, Customs, and Global Competitiveness; Senate Committee on Finance — Social Security, Pensions, and Family Policy; Senate Committee on Veterans' Affairs; Senate Select Committee on Ethics"
113,B001135,"Senate Committee on Finance; Senate Committee on Finance — Energy, Natural Resources, and Infrastructure; Senate Committee on Finance — Fiscal Responsibility and Economic Growth; Senate Committee on Finance — Health Care; Senate Committee on Health, Education, Labor, and Pensions; Senate Committee on Health, Education, Labor, and Pensions — Children and Families; Senate Committee on Health, Education, Labor, and Pensions — Primary Health and Aging; Senate Committee on Veterans' Affairs; Senate Select Committee on Intelligence"
113,B001227,House Committee on Armed Services; House Committee on Armed Services — Military Personnel; House Committee on House Administration; Joint Committee on Printing; Joint Committee on the Library
113,B001230,"Senate Committee on Energy and Natural Resources; Senate Committee on Energy and Natural Resources — Energy; Senate Committee on Energy and Natural Resources — National Parks; Senate Committee on Energy and Natural Resources — Public Lands, Forests, and Mining; Senate Committee on Health, Education, Labor, and Pensions; Senate Committee on Health, Education, Labor, and Pensions — Employment and Workplace Safety; Senate Committee on Health, Education, Labor, and Pensions — Primary Health and Aging; Senate Committee on Homeland Security and Governmental Affairs; Senate Committee on Homeland Security and Governmental Affairs — Financial and Contracting Oversight; Senate Committee on Homeland Security and Governmental Affairs — Permanent Subcommittee on Investigations; Senate Committee on Homeland Security and Governmental Affairs — the Efficiency and Effectiveness of Federal Programs and the Federal Workforce; Senate Committee on the Budget; Senate Special Committee on Aging"
113,B001236,"Commission on Security and Cooperation in Europe; Senate Committee on Agriculture, Nutrition, and Forestry; Senate Committee on Agriculture, Nutrition, and Forestry — Commodities, Markets, Trade and Risk Management; Senate Committee on Agriculture, Nutrition, and Forestry — Conservation, Forestry and Natural Resources; Senate Committee on Agriculture, Nutrition, and Forestry — Jobs, Rural Economic Growth and Energy Innovation; Senate Committee on Agriculture, Nutrition, and Forestry — Livestock, Dairy, Poultry, Marketing and Agriculture Security; Senate Committee on Appropriations; Senate Committee on Appropriations — Commerce, Justice, Science, and Related Agencies; Senate Committee on Appropriations — Departments of Labor, Health and Human Services, and Education, and Related Agencies; Senate Committee on Appropriations — Legislative Branch; Senate Committee on Appropriations — State, Foreign Operations, and Related Programs; Senate Committee on Appropriations — Transportation and Housing and Urban Development, and Related Agencies; Senate Committee on Environment and Public Works; Senate Committee on Environment and Public Works — Clean Air and Nuclear Safety; Senate Committee on Environment and Public Works — Oversight; Senate Committee on Environment and Public Works — Water and Wildlife; Senate Committee on Veterans' Affairs"
113,B001242,House Committee on Education and the Workforce; House Committee on Education and the Workforce — Higher Education and Workforce Training; House Committee on Education and the Workforce — Workforce Protections; House Committee on Transportation and Infrastructure; House Committee on Transportation and Infrastructure — Coast Guard and Maritime Transportation; House Committee on Transportation and Infrastructure — Water Resources and Environment
113,B001243,"House Committee on Energy and Commerce; House Committee on Energy and Commerce — Commerce, Manufacturing, and Trade; House Committee on Energy and Commerce — Communications and Technology; House Committee on Energy and Commerce — Health; House Committee on Energy and Commerce — Oversight and Investigations; House Committee on the Budget"
113,B001245,"House Committee on Armed Services; House Committee on Armed Services — Military Personnel; House Committee on Armed Services — Readiness; House Committee on Natural Resources; House Committee on Natural Resources — Fisheries, Wildlife, Oceans and Insular Affairs; House Committee on Natural Resources — Public Lands and Environmental Regulation"
113,B001248,Commission on Security and Cooperation in Europe; House Committee on Energy and Commerce; House Committee on Energy and Commerce — Energy and Power; House Committee on Energy and Commerce — Health; House Committee on Energy and Commerce — Oversight and Investigations; House Committee on Rules; House Committee on Rules — Legislative and Budget Process
113,B001250,House Committee on Armed Services; House Committee on Armed Services — Readiness; House Committee on Armed Services — Tactical Air and Land Forces; House Committee on Natural Resources; House Committee on Natural Resources — Energy and Mineral Resources; House Committee on Natural Resources — Public Lands and Environmental Regulation; House Committee on Rules; House Committee on Rules — Rules and Organization of the House
