BioGuideID,Name,ticker,traded,Transaction
C001103,Earl Leroy Carter,12/01/37,2019-10-23,Purchase
H001082,Kevin Hern,ROK,2019-10-15,Purchase
G000583,Josh Gottheimer,MSFT,2019-09-16,Purchase
C001103,Earl Leroy Carter,DUE 7/01/20,2019-08-30,Purchase
C001123,Gilbert Cisneros,CATY,2019-08-15,Purchase
C001103,Earl Leroy Carter,DUE 10/01/37,2019-08-02,Purchase
C001103,Earl Leroy Carter,DUE 08/01/25,2019-08-02,Purchase
F000468,Elizabeth Fletcher,TSS,2019-07-09,Sale
D000610,Theodore E. Deutch,40056FN84,2019-06-03,Purchase
D000610,Theodore E. Deutch,40056FN84,2019-06-03,Purchase
F000468,Elizabeth Fletcher,TSCO,2019-05-31,Sale
D000610,Theodore E. Deutch,40055AY43,2019-05-23,Sale
C001103,Earl Leroy Carter,07/01/28,2019-05-09,Purchase
C001103,Earl Leroy Carter,07/01/36,2019-05-09,Purchase
F000461,Bill Flores,VLO,2019-05-08,Purchase
P000616,Dean Phillips,BEN,2019-04-04,Sale
T000479,Nicholas Van Taylor,WFC,2019-03-25,Sale
D000624,Debbie Dingell,UBSI,2019-03-25,Purchase
P000616,Dean Phillips,DUK PA,2019-03-25,Purchase
P000616,Dean Phillips,FOX,2019-03-20,Sale
L000590,Susie Lee,MSI,2019-03-14,Purchase
P000616,Dean Phillips,CVS,2019-02-04,Sale
T000479,Nicholas Van Taylor,XOM,2019-01-25,Sale
M001193,Thomas Macarthur,EFA,2018-12-18,Sale
