scope,field,agreement_pct,n_pairs
digital,sense,98.4,3980
digital,date_traded,99.4,3656
digital,date_filed,0.6,3656
digital,amount_bucket,94.0,3980
ocr,sense,94.4,3917
ocr,date_traded,68.9,4016
ocr,date_filed,0.7,4016
ocr,amount_bucket,92.0,3917
both,sense,96.4,7897
both,date_traded,83.4,7672
both,date_filed,0.7,7672
both,amount_bucket,93.0,7897
