doc_id,last,first,filing_type,state_district,filing_date_raw,disclosure_date,declarant_name,url_pdf
20024437,Burgess,Michael C.,P,TX26,2/5/2024,2024-02-05,Michael C. Burgess,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20024437.pdf
20024627,Burgess,Michael C.,P,TX26,3/7/2024,2024-03-07,Michael C. Burgess,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20024627.pdf
20024722,Burgess,Michael C.,P,TX26,3/22/2024,2024-03-22,Michael C. Burgess,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20024722.pdf
20024838,Burgess,Michael C.,P,TX26,4/10/2024,2024-04-10,Michael C. Burgess,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20024838.pdf
20024966,Burgess,Michael C.,P,TX26,5/2/2024,2024-05-02,Michael C. Burgess,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20024966.pdf
20025548,Burgess,Michael C.,P,TX26,7/31/2024,2024-07-31,Michael C. Burgess,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20025548.pdf
20025605,Burgess,Michael C.,P,TX26,8/12/2024,2024-08-12,Michael C. Burgess,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20025605.pdf
20025791,Burgess,Michael C.,P,TX26,9/24/2024,2024-09-24,Michael C. Burgess,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20025791.pdf
20025942,Burgess,Michael C.,P,TX26,10/1/2024,2024-10-01,Michael C. Burgess,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20025942.pdf
20025257,Carter,Earl Leroy,P,GA01,6/12/2024,2024-06-12,Earl Leroy Carter,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20025257.pdf
20025349,Carter,Earl Leroy,P,GA01,6/28/2024,2024-06-28,Earl Leroy Carter,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20025349.pdf
20025499,Carter,Earl Leroy,P,GA01,7/24/2024,2024-07-24,Earl Leroy Carter,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20025499.pdf
20023805,Casten,Sean,P,IL06,1/16/2024,2024-01-16,Sean Casten,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20023805.pdf
20025384,Casten,Sean,P,IL06,8/9/2024,2024-08-09,Sean Casten,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20025384.pdf
20025700,Casten,Sean,P,IL06,8/27/2024,2024-08-27,Sean Casten,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20025700.pdf
20024754,Castor,Kathy,P,FL14,3/28/2024,2024-03-28,Kathy Castor,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20024754.pdf
20025475,Castor,Kathy,P,FL14,7/15/2024,2024-07-15,Kathy Castor,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20025475.pdf
20024347,Chu,Judy,P,CA28,1/21/2024,2024-01-21,Judy Chu,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20024347.pdf
20024435,Clark,Katherine M.,P,MA05,2/12/2024,2024-02-12,Katherine M. Clark,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20024435.pdf
20024588,Clark,Katherine M.,P,MA05,3/5/2024,2024-03-05,Katherine M. Clark,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20024588.pdf
