year,doc_id,filing_date,declarant_name_raw,state_dst,pdf_url,local_path,http_status,download_status,file_size_bytes,sha256,content_type,n_pages,text_extractable_flag,downloaded_at,error_message
2025,20033492,2025-11-18,Jake Auchincloss,MA04,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2025/20033492.pdf,/Users/lemairealice/Downloads/Jupiter/congress_trading_signal/data/raw/house/ptr_pdfs/2025/20033492.pdf,200,ok,63447,830bdc29a3cb629d94a502973d4b1d15b5624f596fb2eeddd550e3bbdf5a0da5,application/pdf,1,True,2026-06-23T16:04:11+00:00,
2025,20030646,2025-07-09,Cliff Bentz,OR02,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2025/20030646.pdf,/Users/lemairealice/Downloads/Jupiter/congress_trading_signal/data/raw/house/ptr_pdfs/2025/20030646.pdf,200,ok,66265,013033db1c931c47948eb0d2f60e1e7dfbeeb4eccfe03cb2afc2b90260830c21,application/pdf,1,True,2026-06-23T16:04:11+00:00,
2025,20026517,2025-01-06,Donald Sternoff Beyer,VA08,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2025/20026517.pdf,/Users/lemairealice/Downloads/Jupiter/congress_trading_signal/data/raw/house/ptr_pdfs/2025/20026517.pdf,200,ok,71377,2ff97d239825a7417d038babc5fc062a2315590a455523d2d471ef2cbc1a25b8,application/pdf,2,True,2026-06-23T16:04:12+00:00,
2025,20027932,2025-03-08,Donald Sternoff Beyer,VA08,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2025/20027932.pdf,/Users/lemairealice/Downloads/Jupiter/congress_trading_signal/data/raw/house/ptr_pdfs/2025/20027932.pdf,200,ok,66926,24ff75022129b9233d55f2684278881b5aa7599ba9f09f7c61a97fbb9bb79e27,application/pdf,1,True,2026-06-23T16:04:12+00:00,
2025,20030262,2025-05-02,Donald Sternoff Beyer,VA08,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2025/20030262.pdf,/Users/lemairealice/Downloads/Jupiter/congress_trading_signal/data/raw/house/ptr_pdfs/2025/20030262.pdf,200,ok,67059,e01c1031aafcec2393e984b7525caf2068b2f93745425801058e4e3fff0ab175,application/pdf,1,True,2026-06-23T16:04:13+00:00,
2025,20030746,2025-08-02,Donald Sternoff Beyer,VA08,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2025/20030746.pdf,/Users/lemairealice/Downloads/Jupiter/congress_trading_signal/data/raw/house/ptr_pdfs/2025/20030746.pdf,200,ok,67076,4f239c8c1160ee46e52f1156188394a1d4f4c975a6991f129ec133f914b13827,application/pdf,1,True,2026-06-23T16:04:13+00:00,
2025,20032200,2025-10-02,Donald Sternoff Beyer,VA08,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2025/20032200.pdf,/Users/lemairealice/Downloads/Jupiter/congress_trading_signal/data/raw/house/ptr_pdfs/2025/20032200.pdf,200,ok,66703,a5a9154a3d6065f22b7cf7dbada4e10688a9f02f746fb6464b14b55bfdf3998f,application/pdf,1,True,2026-06-23T16:04:14+00:00,
2025,20033325,2025-11-02,Donald Sternoff Beyer,VA08,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2025/20033325.pdf,/Users/lemairealice/Downloads/Jupiter/congress_trading_signal/data/raw/house/ptr_pdfs/2025/20033325.pdf,200,ok,70802,23499389dc0f23fb99981ea63a0e97c7e91a18f2f0b9303c71dfd9856b496ca9,application/pdf,2,True,2026-06-23T16:04:14+00:00,
2025,20032149,2025-10-05,Sheri Biggs,SC03,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2025/20032149.pdf,/Users/lemairealice/Downloads/Jupiter/congress_trading_signal/data/raw/house/ptr_pdfs/2025/20032149.pdf,200,ok,281593,af2f6a445a5443b09ace7fd6b360e04e150522c45e234ca4de5b61853d560510,application/pdf,26,True,2026-06-23T16:04:15+00:00,
2025,20033379,2025-10-31,Sheri Biggs,SC03,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2025/20033379.pdf,/Users/lemairealice/Downloads/Jupiter/congress_trading_signal/data/raw/house/ptr_pdfs/2025/20033379.pdf,200,ok,86315,cb5025cafbfe188d81b26eb51e4e58c6a23901406c5a2fce5ce2ba6bce268510,application/pdf,2,True,2026-06-23T16:04:15+00:00,
2025,20033579,2025-12-04,Sheri Biggs,SC03,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2025/20033579.pdf,/Users/lemairealice/Downloads/Jupiter/congress_trading_signal/data/raw/house/ptr_pdfs/2025/20033579.pdf,200,ok,86510,f42bdda160be909b7ad71e88ef906a1673b54bd1e890d090177c9e21c5bea060,application/pdf,2,True,2026-06-23T16:04:16+00:00,
2025,20033694,2025-12-29,Sheri Biggs,SC03,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2025/20033694.pdf,/Users/lemairealice/Downloads/Jupiter/congress_trading_signal/data/raw/house/ptr_pdfs/2025/20033694.pdf,200,ok,89232,123ac19a3bff83be8654d9717d7513c5a1cae206aab36ac679f382eb7e5c51e2,application/pdf,2,True,2026-06-23T16:04:16+00:00,
2025,8220747,2025-02-06,Gus M. Bilirakis,FL12,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2025/8220747.pdf,/Users/lemairealice/Downloads/Jupiter/congress_trading_signal/data/raw/house/ptr_pdfs/2025/8220747.pdf,200,ok,54738,abddefd1e463f88e62e9173f6a12e07e8457f56503619e40f85e034645eb7be8,application/pdf,2,False,2026-06-23T16:04:17+00:00,
2025,20024346,2025-02-13,Rob Bresnahan,PA08,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2025/20024346.pdf,/Users/lemairealice/Downloads/Jupiter/congress_trading_signal/data/raw/house/ptr_pdfs/2025/20024346.pdf,200,ok,184813,c12ef019381a3d19dd5546653ef58415f6fcfea21f16d32b33fd287d359539dd,application/pdf,16,True,2026-06-23T16:04:17+00:00,
2025,20027923,2025-03-07,Rob Bresnahan,PA08,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2025/20027923.pdf,/Users/lemairealice/Downloads/Jupiter/congress_trading_signal/data/raw/house/ptr_pdfs/2025/20027923.pdf,200,ok,75575,aed36a53aef0775529c2937b39906f057ccdc025ade63406114458c823dde56d,application/pdf,3,True,2026-06-23T16:04:17+00:00,
2025,20027940,2025-03-10,Rob Bresnahan,PA08,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2025/20027940.pdf,/Users/lemairealice/Downloads/Jupiter/congress_trading_signal/data/raw/house/ptr_pdfs/2025/20027940.pdf,200,ok,72217,da49898a2cfe5b76e60aab2e73a416a52da57602e4dff16a837140c48c5ed736,application/pdf,2,True,2026-06-23T16:04:18+00:00,
2025,20029034,2025-03-27,Rob Bresnahan,PA08,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2025/20029034.pdf,/Users/lemairealice/Downloads/Jupiter/congress_trading_signal/data/raw/house/ptr_pdfs/2025/20029034.pdf,200,ok,167705,8b8f9ad6e4761dd8567eed0c9c57389fa64cb70c2c065967226634d78a7807dd,application/pdf,14,True,2026-06-23T16:04:18+00:00,
2025,20029055,2025-04-09,Rob Bresnahan,PA08,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2025/20029055.pdf,/Users/lemairealice/Downloads/Jupiter/congress_trading_signal/data/raw/house/ptr_pdfs/2025/20029055.pdf,200,ok,82061,37fb7e7d1f18e36de65c4b5ef335a15d2d3983af6f27544ddeb1f30357b1bdd2,application/pdf,3,True,2026-06-23T16:04:19+00:00,
