doc_id,extrait
20021148,"Filing ID #20021148 P T R Clerk of the House of Representatives • Legislative Resource Center • 135 Cannon Building • Washington, DC 20515 F I Name: Hon. Doris O. Matsui Status: Member State/District: CA06 T ID Owner Asset Transaction Date Notification Amount Cap. Type Date Gains > $200? SP Intrinsi"
20021049,"Filing ID #20021049 P T R Clerk of the House of Representatives • Legislative Resource Center • 135 Cannon Building • Washington, DC 20515 F I Name: Hon. Scott H. Peters Status: Member State/District: CA52 T ID Owner Asset Transaction Date Notification Amount Cap. Type Date Gains > $200? SP Multi-Pa"
