doc_id,http_status,bytes
20005183,200,51178
20004419,200,99606
20004420,200,68436
20004485,200,68459
20004894,200,52562
20005414,200,51348
20006308,200,51900
20006309,200,72977
20006390,200,72811
20006391,200,51146
20005154,200,51575
20005532,200,51306
9109787,200,78944
20004487,200,88735
20004642,200,76508
20004720,200,80326
20004906,200,63517
20005220,200,60738
20005897,200,51899
20006116,200,52103
9109663,200,171663
9108317,200,48156
9109045,200,32271
9108217,200,49273
9108341,200,58895
9108425,200,55399
9108648,200,27850
9108649,200,33370
9108765,200,58501
9109671,200,51874
9109963,200,27883
9110164,200,27142
9110290,200,61850
20006055,200,51066
20004637,200,67803
20005200,200,50157
20005741,200,50688
20006238,200,50269
20006337,200,50338
20004382,200,68011
20004644,200,68747
20004717,200,68058
20005019,200,50010
20005526,200,50002
20005765,200,52894
20006030,200,54925
20006139,200,50381
20006400,200,50832
20004306,200,70701
20004436,200,68236
20004643,200,70127
20004746,200,51597
20004969,200,50815
20005203,200,52144
20005362,200,53225
20005603,200,51544
20005702,200,51280
20006079,200,50801
20006274,200,53648
20006384,200,51421
20005430,200,53816
20004867,200,52069
20005685,200,50931
20005693,200,50933
20004787,200,53323
20005028,200,52206
20005285,200,50685
9108369,200,59422
9108453,200,202185
9108556,200,89062
20005065,200,66200
20005315,200,65597
20005491,200,80228
20005688,200,68668
20005841,200,62193
20006034,200,56807
20006174,200,58514
20006340,200,56315
20004438,200,70734
20004615,200,68124
20004872,200,51457
20005462,200,51225
20005672,200,51387
20005981,200,51522
9108259,200,64575
9108387,200,55565
9108512,200,32630
9108694,200,55999
9109425,200,57788
9109959,200,61268
9109960,200,59207
9110012,200,54771
9110142,200,58974
9110289,200,54578
20004450,200,71842
20005068,200,51013
20005123,200,52510
20005124,200,51484
20005128,200,50892
20005540,200,50833
20005753,200,51743
20005763,200,51170
20006319,200,51820
20006404,200,51140
9108406,200,38359
9108587,200,54958
9108611,200,70256
9109044,200,35204
9109979,200,32943
9110216,200,31063
9110288,200,31566
9110300,200,31483
20003809,200,68568
20006343,200,52186
20006432,200,51311
20004345,200,78370
20004540,200,82854
20004681,200,80947
20004874,200,54503
20005013,200,65851
20005270,200,60009
20005456,200,60450
20005629,200,58831
20005819,200,64412
20006029,200,136647
20006161,200,55282
20004430,200,67143
20004936,200,50707
20005455,200,50426
20006010,200,50835
20005530,200,49982
20005811,200,51244
20005131,200,51004
9108482,200,32343
20004330,200,67691
20004363,200,69042
20004475,200,71416
20004556,200,67295
