doc_id,http_status,bytes
20002776,200,68835
20002949,200,68220
20002963,200,68616
20002964,200,67691
20003185,200,67080
20003367,200,100631
20003528,200,67904
20003534,200,102313
20003708,200,101247
20003994,200,67513
9106294,200,64450
20002550,200,66958
20002827,200,69735
20004311,200,77177
9107279,200,32755
9107923,200,35218
9106404,200,264122
9106320,200,34236
9107245,200,32572
9107544,200,60348
9108029,200,29719
9105971,200,45774
9106102,200,71148
9106101,200,53113
9106213,200,46971
9106250,200,49758
9106265,200,47626
9106293,200,50706
9106372,200,49052
9106899,200,73609
9107123,200,80426
9107243,200,51528
9107331,200,31975
9107348,200,133465
9107495,200,30440
9107496,200,195453
9107551,200,51990
9107572,200,54531
9107664,200,48503
9107696,200,217971
9107988,200,44912
9108065,200,28565
9106131,200,28846
20002585,200,67308
20002777,200,66870
20002778,200,66963
20003142,200,66599
20003355,200,66844
20003664,200,67443
20004121,200,67362
20004164,200,67763
20002347,200,72471
20002620,200,70610
20002785,200,68387
20002923,200,68025
20003022,200,68129
20003400,200,70467
20003745,200,67629
20002327,200,67125
20002454,200,66191
20002713,200,66529
20002831,200,66218
20003345,200,66363
20003908,200,67219
20004046,200,67480
20002969,200,68109
20003084,200,68129
20002422,200,73128
20002783,200,68727
20002966,200,68021
20003174,200,67996
20003325,200,68282
20003332,200,71904
20003619,200,68216
20003799,200,74112
20003914,200,68480
20004113,200,67701
20004243,200,70395
20003873,200,68428
20003169,200,67136
20003749,200,70512
20003626,200,73869
20002315,200,66683
20002533,200,68393
20003116,200,72361
20003295,200,73410
20003870,200,68593
9107434,200,60432
9107680,200,61595
9108078,200,32222
20002346,200,72637
20002484,200,70201
20002598,200,68184
20002600,200,74764
20002651,200,68479
20002731,200,70282
20002828,200,68590
20002922,200,69913
20003057,200,67971
20003176,200,83384
20003526,200,70659
20003716,200,71747
20003890,200,69543
20004209,200,78992
9105900,200,52162
9106099,200,50876
9106319,200,52935
9107638,200,30605
9108028,200,51283
9106554,200,89811
9106568,200,33369
20003034,200,67601
20003368,200,68003
20003474,200,67183
20003709,200,69087
20004150,200,68161
20004212,200,68073
20004278,200,68119
9105969,200,29683
