bioguide_id,declarant_name,last,first,party,chamber,state,district
B000145,Alben Barkley,Barkley,Alben,Democrat,senate,KY,
F000085,Antonio Fernández,Fernández,Antonio,Democrat,house,NM,0.0
H000963,Robert Humphreys,Humphreys,Robert,Democrat,senate,KY,
L000025,William Laird,Laird,William,Democrat,senate,WV,
W000666,Thomas Wofford,Wofford,Thomas,Democrat,senate,SC,
C000774,Guy Cordon,Cordon,Guy,Republican,senate,OR,
F000081,Homer Ferguson,Ferguson,Homer,Republican,senate,MI,
G000205,Guy Gillette,Gillette,Guy,Democrat,senate,IA,
H000495,Robert Hendrickson,Hendrickson,Robert,Republican,senate,NJ,
J000127,Edwin Johnson,Johnson,Edwin,Democrat,senate,CO,
A000257,Homer Angell,Angell,Homer,Republican,house,OR,3.0
B000242,Laurie Battle,Battle,Laurie,Democrat,house,AL,9.0
B000486,Cecil Bishop,Bishop,Cecil,Republican,house,IL,25.0
B000618,Edward Bonin,Bonin,Edward,Republican,house,PA,11.0
B000762,Ernest Bramblett,Bramblett,Ernest,Republican,house,CA,13.0
B000999,Joseph Bryson,Bryson,Joseph,Democrat,house,SC,4.0
B001161,Fred Busbey,Busbey,Fred,Republican,house,IL,3.0
C000070,Albert Camp,Camp,Albert,Democrat,house,GA,4.0
C000080,Courtney Campbell,Campbell,Courtney,Democrat,house,FL,1.0
C000416,Kit Clardy,Clardy,Kit,Republican,house,MI,6.0
C000614,William Cole,Cole,William,Republican,house,MO,6.0
C000674,Robert Condon,Condon,Robert,Democrat,house,CA,6.0
C000932,Robert Crosser,Crosser,Robert,Democrat,house,OH,21.0
D000281,Wesley D’Ewart,D’Ewart,Wesley,Republican,house,MT,2.0
F000034,Joseph Farrington,Farrington,Joseph,Republican,house,HI,0.0
G000258,James Golden,Golden,James,Republican,house,KY,8.0
G000297,Angier Goodwin,Goodwin,Angier,Republican,house,MA,8.0
G000360,Louis Graham,Graham,Louis,Republican,house,PA,25.0
H000014,Harold Hagen,Hagen,Harold,Republican,house,MN,9.0
H000284,Edward Hart,Hart,Edward,Democrat,house,NJ,14.0
H000460,Louis Heller,Heller,Louis,Democrat,house,NY,8.0
H000616,Jeffrey Hillelson,Hillelson,Jeffrey,Republican,house,MO,4.0
H000858,Charles Howell,Howell,Charles,Democrat,house,NJ,4.0
H000943,Merlin Hull,Hull,Merlin,Republican,house,WI,9.0
H000979,Allan Hunter,Hunter,Allan,Republican,house,CA,12.0
J000207,Edgar Jonas,Jonas,Edgar,Republican,house,IL,12.0
K000150,Charles Kersten,Kersten,Charles,Republican,house,WI,5.0
L000089,William Lantaff,Lantaff,William,Democrat,house,FL,4.0
L000496,Wingate Lucas,Lucas,Wingate,Democrat,house,TX,12.0
L000525,John Lyle,Lyle,John,Democrat,house,TX,14.0
M000656,D. Merrill,Merrill,D.,Republican,house,IN,8.0
M000729,Howard Miller,Miller,Howard,Democrat,house,KS,1.0
O000009,George O’Brien,O’Brien,George,Democrat,house,MI,13.0
O000004,Charles Oakman,Oakman,Charles,Republican,house,MI,17.0
P000107,Harold Patten,Patten,Harold,Democrat,house,AZ,2.0
P000475,C. Poulson,Poulson,C.,Republican,house,CA,24.0
R000100,Henry Reams,Reams,Henry,Independent,house,OH,9.0
R000140,Kenneth Regan,Regan,Kenneth,Democrat,house,TX,16.0
R000391,Dwight Rogers,Rogers,Dwight,Democrat,house,FL,6.0
R000425,Franklin Roosevelt,Roosevelt,Franklin,Democrat,house,NY,20.0
S000277,Paul Shafer,Shafer,Paul,Republican,house,MI,3.0
S000499,Frank Small,Small,Frank,Republican,house,MD,5.0
S000797,Thomas Stanley,Stanley,Thomas,Democrat,house,VA,5.0
S001006,Douglas Stringfellow,Stringfellow,Douglas,Republican,house,UT,1.0
S001087,James Sutton,Sutton,James,Democrat,house,TN,6.0
W000123,Herbert Warburton,Warburton,Herbert,Republican,house,DE,0.0
W000252,Alvin Weichel,Weichel,Alvin,Republican,house,OH,13.0
W000342,William Wheeler,Wheeler,William,Democrat,house,GA,8.0
W000604,Joseph Wilson,Wilson,Joseph,Democrat,house,TX,5.0
Y000024,Samuel Yorty,Yorty,Samuel,Democrat,house,CA,26.0
H000975,Lester Hunt,Hunt,Lester,Democrat,senate,WY,
M000279,Burnet Maybank,Maybank,Burnet,Democrat,senate,SC,
H000679,Clyde Hoey,Hoey,Clyde,Democrat,senate,NC,
M000308,Patrick McCarran,McCarran,Patrick,Democrat,senate,NV,
G000481,Dwight Griswold,Griswold,Dwight,Republican,senate,NE,
B001099,Thomas Burke,Burke,Thomas,Democrat,senate,OH,
B001177,Hugh Butler,Butler,Hugh,Republican,senate,NE,
U000032,Robert Upton,Upton,Robert,Republican,senate,NH,
A000010,Hazel Abel,Abel,Hazel,Republican,senate,NE,
B000709,Eva Bowring,Bowring,Eva,Republican,senate,NE,
B000913,Ernest Brown,Brown,Ernest,Republican,senate,NV,
C000906,Edward Crippa,Crippa,Edward,Republican,senate,WY,
D000031,Charles Daniel,Daniel,Charles,Democrat,senate,SC,
R000180,Samuel Reynolds,Reynolds,Samuel,Republican,senate,NE,
C000021,Harry Cain,Cain,Harry,Republican,senate,WA,
B000816,Ralph Brewster,Brewster,Ralph,Republican,senate,ME,
C000684,Thomas Connally,Connally,Thomas,Democrat,senate,TX,
E000037,Zales Ecton,Ecton,Zales,Republican,senate,MT,
K000082,James Kem,Kem,James,Republican,senate,MO,
L000394,Henry Lodge,Lodge,Henry,Republican,senate,MA,
M000438,Ernest McFarland,McFarland,Ernest,Democrat,senate,AZ,
M000499,Kenneth McKellar,McKellar,Kenneth,Democrat,senate,TN,
O000032,Herbert O’Conor,O’Conor,Herbert,Democrat,senate,MD,
B000399,William Benton,Benton,William,Democrat,senate,CT,
S000639,Willis Smith,Smith,Willis,Democrat,senate,NC,
A000001,Fred Aandahl,Aandahl,Fred,Republican,house,ND,0.0
