year,n_ptr,n_lisible,n_non_lisible,n_txns_digital,n_declarants,quiver_coverage_pct,set_matched,set_only_quiver,set_only_nous,vrais_trades_manques,decl_concordant,decl_nous_plus,decl_quiver_vide,decl_manquant_papier
2020,722,597,125,6886,98,61.9,5171,3188,595,15,46,28,16,2
2021,674,565,109,5457,105,74.2,4375,1518,177,26,44,38,17,8
2022,613,505,108,3601,97,35.8,2687,4826,249,39,41,32,20,7
2023,457,388,69,4161,89,43.7,3308,4262,188,65,28,29,27,5
2024,442,394,48,2694,91,35.4,1926,3516,12,40,32,31,24,5
2025,510,449,61,7577,96,60.1,6479,4294,43,58,46,30,17,4
2026,262,235,27,2300,79,38.6,1805,2869,7,38,41,21,13,5
