bioguide_id,name,docs,n_ocr,n_quiver,delta
K000389,Rohit Khanna,5,3197,2615,582
M001157,Michael T. McCaul,5,492,333,159
H001086,Diana Harshbarger,7,47,8,39
F000459,"Charles J. ""Chuck"" Fleischmann",3,27,4,23
W000829,Tony Wied,2,27,13,14
