asset_type,exact_match,date_mismatch,no_match,non_equity,total,quiver_has_pct
Corporate Bond,0,0,1,10,11,0.0
Municipal Security,0,0,0,85,85,
Non-Public Stock,0,0,0,1,1,
Option,0,0,0,1,1,
Other,0,0,0,311,311,
Stock,303,7,34,37,381,90.1
