year,uuid,member,disclosure_date
2020,dbc1c728-6fe4-49d7-809b-d1c79f7b1376,RICHARD BLUMENTHAL,2020-12-22
2020,f45a6e12-e24c-4fac-8ced-3d704a179559,DIANNE FEINSTEIN,2020-12-15
2020,2a123633-1454-49ff-8c3b-c4028372a119,RICHARD BLUMENTHAL,2020-12-02
2020,7ce788ae-dbe0-46b2-ac9a-a1aa5a4ff62d,JOHN BOOZMAN,2020-11-10
2020,dfeac24c-e61d-4732-b200-ccae42657df2,JOHN BOOZMAN,2020-10-16
2020,de3406b8-6047-4f08-8c2e-2f20aa280112,RICHARD BLUMENTHAL,2020-10-13
2020,6e153093-081b-41b1-9c3e-3a1512de56f2,DIANNE FEINSTEIN,2020-09-22
2020,53a76d97-d1c7-4c80-999a-99d12987979b,RICHARD BLUMENTHAL,2020-09-09
2020,19b4badb-691c-451d-90a1-5f8e68c3750d,JOHN BOOZMAN,2020-09-08
2020,05ee8aed-9bbc-48ba-9cb5-037e8f1c7d3b,JOHN BOOZMAN,2020-08-21
2020,fe49d68d-e344-4c64-a621-4ea77d59eb47,RICHARD M BURR,2020-08-13
2020,196d2697-baa7-43ed-bbd2-f35823eae0f8,RICHARD BLUMENTHAL,2020-08-13
2020,7aa0d20c-a400-4326-8aca-5bdc8e5c5797,JOHN BOOZMAN,2020-08-11
2020,a755855f-e352-456b-9811-857d279eb269,DIANNE FEINSTEIN,2020-07-16
2020,5222f3bf-d740-4457-b3b9-190e56485109,RICHARD BLUMENTHAL,2020-07-01
2020,3b996061-cdb5-4066-a963-64b23988ad02,RICHARD BLUMENTHAL,2020-06-22
2020,e27fd07d-ed8f-4d3e-b825-81e9bfceda1f,RICHARD BLUMENTHAL,2020-06-02
2020,ae9950be-f385-4c4f-b70a-caa5e1602966,RICHARD BLUMENTHAL,2020-05-21
2020,df06d95e-953b-47fa-8f17-252a2b388bfe,DIANNE FEINSTEIN,2020-05-19
2020,31e8128b-93b6-4a0d-88b2-2c54c6e802fc,JOHN BOOZMAN,2020-05-15
2020,8104804b-208a-49ca-8089-7d270a4b2bfa,JOHN BOOZMAN,2020-05-11
2020,bcf4205f-7df0-48c9-b51e-25c5b99b2bd2,RICHARD BLUMENTHAL,2020-03-24
2020,9cb7a5dd-bf30-48d2-8e73-58e980b9c203,JOHN BOOZMAN,2020-03-19
2020,680b4c2d-8eea-48c5-b79e-df2754e37ac4,DIANNE FEINSTEIN,2020-03-17
2020,8da9c843-54ce-4d2e-ac32-74b2153ec020,RICHARD BLUMENTHAL,2020-03-12
2020,4c78ce9f-d842-4f36-9102-48e43377166b,DIANNE FEINSTEIN,2020-02-28
2020,156b69ba-6f48-4a32-b796-707093c476c6,RICHARD M BURR,2020-02-27
2020,c5ce97f8-72c9-4067-b789-34b656af4fb4,RICHARD M BURR,2020-02-26
2020,1a861004-b7f4-4dbd-9186-60bc49286562,DIANNE FEINSTEIN,2020-02-25
2020,c3471d47-b8ef-4f81-95a4-296a440b2ddc,RICHARD BLUMENTHAL,2020-02-10
2020,d145efef-1925-4ec2-b435-118c9a57a394,JOHN BOOZMAN,2020-02-07
2020,03b9dc2b-2e00-44ed-8b2f-cfc729313f92,RICHARD BLUMENTHAL,2020-02-04
2020,7b9582d4-6a8b-4f49-8100-f43c0537a561,JOHN BOOZMAN,2020-01-24
2021,ec4d0d90-b4a7-4fb8-a1ac-bbcfd1c3ad6a,RICHARD BLUMENTHAL,2021-12-13
2021,366d62bd-723c-4708-8d48-aa636fed35bb,JOHN BOOZMAN,2021-12-07
2021,e924e7a1-7b11-4bf6-85e0-2238bce7fb0f,RICHARD BLUMENTHAL,2021-11-09
2021,8df50107-62ea-45a1-87db-ee144cc3f568,JOHN BOOZMAN,2021-10-12
2021,a84b299c-20ca-4f6d-8987-a23c5f5bcf54,RICHARD BLUMENTHAL,2021-10-04
2021,f37321cd-cd47-443b-8687-4093e9bd5a15,RICHARD BLUMENTHAL,2021-09-22
2021,1f256949-caed-40d5-8076-d9243221bbc4,JOHN BOOZMAN,2021-09-08
2021,de267ca2-8849-4bd9-a6a5-2ac1358b7d24,JOHN BOOZMAN,2021-08-31
2021,58e7336b-77cd-491f-99ea-6bd8d2def825,RICHARD BLUMENTHAL,2021-08-05
2021,d40c72ed-6239-4214-a20a-f576b9628901,JOHN BOOZMAN,2021-07-07
2021,7d15a892-ceff-43c2-acd3-092d7a240de6,RICHARD BLUMENTHAL,2021-07-01
