cluster,exact_match,date_mismatch,no_match,non_equity,total,quiver_has_pct
A_tape_droit,0,0,5,4,9,0.0
B_tape_tourne,3434,998,422,1781,6635,91.3
C_manuscrit,4,6,23,13,46,30.3
