scope,field,agreement_pct,n_pairs
digital,sense,99.3,1950
digital,date_traded,69.1,2559
digital,date_filed,1.0,2559
digital,amount_bucket,97.1,1950
ocr,sense,91.3,3818
ocr,date_traded,68.6,3680
ocr,date_filed,0.8,3680
ocr,amount_bucket,95.2,3818
both,sense,94.0,5768
both,date_traded,68.8,6237
both,date_filed,0.9,6237
both,amount_bucket,95.8,5768
