asset_type,exact_match,date_mismatch,no_match,non_equity,total,quiver_has_pct
(inconnu),2288,24,397,1998,4707,85.3
Corporate Bond,0,0,1,26,27,0.0
Gov Security,0,0,22,31,53,0.0
Mutual Fund,13,5,88,82,188,17.0
Other,0,0,0,3,3,
Stock,3120,438,2017,326,5901,63.8
