bioguide,ticker,date,sense
B001274,APT,2017-05-12,Purchase
B001274,BDX,2017-03-21,Sale
B001274,ORCL,2017-03-15,Sale
B001274,PG,2017-03-21,Sale
B001274,TCX,2017-02-15,Sale
B001274,UNP,2017-03-21,Sale
B001274,VZ,2017-01-27,Sale
B001274,WFC,2017-03-21,Sale
B001274,XOM,2017-03-21,Sale
B001286,TEVA,2017-01-30,Sale
B001297,AIG,2017-10-27,Purchase
B001297,AIG,2017-11-07,Sale
B001297,BBVA,2017-10-27,Purchase
B001297,BBVA,2017-11-07,Sale
B001297,CS,2017-10-27,Purchase
B001297,CSGKF,2017-11-07,Sale
B001297,EBKDY,2017-10-27,Purchase
B001297,EBKDY,2017-11-07,Sale
B001297,ENLAY,2017-10-27,Purchase
B001297,ENLAY,2017-11-07,Sale
B001297,ETN,2017-10-27,Purchase
B001297,ETN,2017-11-07,Sale
B001297,IBM,2017-10-27,Purchase
B001297,IBM,2017-11-07,Sale
B001297,ISNPY,2017-10-27,Purchase
B001297,ISNPY,2017-11-07,Sale
B001297,NOK,2017-10-27,Purchase
B001297,NOK,2017-11-07,Sale
B001297,OAK,2017-10-27,Purchase
B001297,OAK,2017-11-07,Sale
B001297,PHG,2017-10-27,Purchase
B001297,PHG,2017-11-07,Sale
B001297,RDS_A,2017-10-27,Purchase
B001297,RDS_A,2017-11-07,Sale
B001297,SNY,2017-10-27,Purchase
B001297,SNY,2017-11-07,Sale
B001297,YARIY,2017-10-27,Purchase
B001297,YARIY,2017-11-07,Sale
C000754,HBHC,2016-12-07,Sale
C001062,BNS,2017-09-22,Purchase
C001062,BNS,2017-09-25,Purchase
C001062,BNS,2017-09-26,Purchase
C001062,DD,2017-07-18,Sale
C001062,GE,2017-07-18,Sale
C001062,IBM,2017-04-19,Purchase
C001062,IBM,2017-08-09,Sale
C001062,KHC,2017-03-24,Sale
C001062,MCD,2017-07-18,Sale
C001062,MMM,2017-07-18,Sale
C001062,MSFT,2017-07-18,Sale
C001062,OXY,2017-09-22,Sale
C001062,PM,2017-03-24,Sale
C001062,PNC,2017-10-04,Purchase
C001062,RDS_B,2017-09-22,Purchase
C001062,RDS_B,2017-09-25,Purchase
C001062,SPG,2017-07-18,Sale
C001062,TMO,2017-03-24,Sale
C001062,UNH,2017-03-24,Purchase
C001062,UNH,2017-10-17,Sale
C001062,UTX,2017-07-18,Sale
C001066,AA,2016-11-01,Sale
C001066,AAPL,2017-03-15,Sale
C001066,ARNC,2016-12-15,Sale
C001066,BA,2017-02-14,Sale
C001066,CAT,2016-12-09,Sale
C001066,DIS,2017-08-04,Sale
C001066,GE,2016-12-09,Sale
C001066,INTC,2017-02-14,Purchase
C001066,INTC,2017-02-14,Sale
C001066,PFE,2017-02-14,Sale
C001066,T,2016-12-09,Sale
C001101,CCE,2016-10-11,Purchase
C001101,CHKP,2016-10-11,Purchase
C001101,PXD,2016-10-11,Purchase
C001101,RBA,2017-04-04,Purchase
C001101,UNH,2016-10-11,Purchase
C001105,CIU,2017-07-06,Sale
C001105,EMB,2017-10-12,Sale
C001105,F,2017-02-15,Sale
C001105,FOX,2017-02-15,Sale
C001105,HPE,2017-02-15,Sale
C001105,HPQ,2017-02-15,Sale
C001105,JNK,2017-10-12,Sale
C001105,KHC,2017-02-15,Sale
C001105,MDLZ,2017-02-15,Sale
C001105,NWS,2017-02-17,Sale
C001105,SIRI,2017-02-15,Sale
C001105,TIP,2017-10-12,Sale
C001105,VB,2017-11-07,Sale
C001105,VDE,2017-10-12,Sale
C001105,VEA,2017-12-18,Sale
C001105,VNQ,2017-10-12,Sale
C001105,VTV,2017-07-06,Sale
C001105,XT,2017-10-12,Purchase
C001107,ACN,2016-12-30,Purchase
C001107,ACN,2017-10-10,Sale
C001107,ASHS,2016-12-30,Purchase
C001107,BAC,2017-01-30,Sale
C001107,BAC,2017-03-24,Sale
C001107,CSX,2017-01-30,Sale
C001107,DIA,2017-10-10,Purchase
C001107,ETP,2016-12-30,Purchase
C001107,ETP,2017-07-10,Sale
C001107,GOGO,2017-11-29,Purchase
C001107,IBB,2016-12-30,Sale
C001107,MDLZ,2017-05-16,Purchase
C001107,MDLZ,2017-08-24,Sale
C001107,MMP,2016-12-30,Sale
C001107,PCY,2017-04-05,Sale
C001107,PRXL,2016-12-30,Purchase
C001107,PRXL,2017-04-05,Sale
C001107,ROBO,2017-07-10,Purchase
C001111,NVG,2017-03-01,Purchase
C001111,SUN,2017-02-21,Purchase
C001111,SUN,2017-02-22,Sale
D000399,IBM,2016-12-13,Purchase
D000399,IBM,2017-03-13,Purchase
D000399,IBM,2017-06-13,Purchase
D000399,IBM,2017-09-12,Purchase
D000399,WFM,2017-08-16,Sale
D000624,IBM,2017-08-14,Purchase
D000624,JCI,2017-03-28,Purchase
D000624,MDLZ,2017-03-28,Purchase
D000624,MDLZ,2017-08-28,Purchase
D000624,NSRGY,2017-06-07,Sale
E000296,ADRE,2017-10-20,Purchase
E000296,CLNS$A,2017-05-23,Sale
E000296,GOOG,2016-12-30,Purchase
