doc_id,extrait
20006992,"Filing ID #20006992 P t r erioDic ranSaction ePort Clerk of the House of Representatives • legislative Resource Center • 135 Cannon Building • Washington, DC 20515 filer information name: Hon. Mo Brooks Status: Member State/District: al05 tranSactionS iD owner asset transaction Date notification amo"
20006946,"Filing ID #20006946 P t r erioDic ranSaction ePort Clerk of the House of Representatives • legislative Resource Center • 135 Cannon Building • Washington, DC 20515 filer information name: Hon. Kathy Castor Status: Member State/District: Fl14 tranSactionS iD owner asset transaction Date notification "
20007742,"Filing ID #20007742 P t r erioDic ranSaction ePort Clerk of the House of Representatives • legislative Resource Center • 135 Cannon Building • Washington, DC 20515 filer information name: Hon. Kathy Castor Status: Member State/District: Fl14 tranSactionS iD owner asset transaction Date notification "
20006700,"Filing ID #20006700 P t r erioDic ranSaction ePort Clerk of the House of Representatives • Legislative Resource Center • 135 Cannon Building • Washington, DC 20515 filer information name: Hon. K. Michael Conaway Status: Member State/District: TX11 tranSactionS iD owner asset transaction Date notific"
20006644,"Filing ID #20006644 P t r erioDic ranSaction ePort Clerk of the House of Representatives • Legislative Resource Center • 135 Cannon Building • Washington, DC 20515 filer information name: Hon. Carlos Mr Curbelo Status: Member State/District: FL26 tranSactionS iD owner asset transaction Date notifica"
20006994,"Filing ID #20006994 P t r erioDic ranSaction ePort Clerk of the House of Representatives • Legislative Resource Center • 135 Cannon Building • Washington, DC 20515 filer information name: Hon. Carlos Mr Curbelo Status: Member State/District: FL26 tranSactionS iD owner asset transaction Date notifica"
20008550,"Filing ID #20008550 P t r erioDic ranSaction ePort Clerk of the House of Representatives • Legislative Resource Center • 135 Cannon Building • Washington, DC 20515 filer information name: Hon. Lloyd Doggett Status: Member State/District: TX35 tranSactionS iD owner asset transaction Date notification"
20006737,"Filing ID #20006737 P t r erioDic ranSaction ePort Clerk of the House of Representatives • legislative Resource Center • 135 Cannon Building • Washington, DC 20515 filer information name: Hon. John J. Faso Status: Member State/District: NY19 tranSactionS iD owner asset transaction Date notification "
20007210,"Filing ID #20007210 P t r erioDic ranSaction ePort Clerk of the House of Representatives • legislative Resource Center • 135 Cannon Building • Washington, DC 20515 filer information name: Hon. Bill Flores Status: Member State/District: TX17 tranSactionS iD owner asset transaction Date notification a"
20007652,"Filing ID #20007652 P t r erioDic ranSaction ePort Clerk of the House of Representatives • Legislative Resource Center • 135 Cannon Building • Washington, DC 20515 filer information name: Hon. John Garamendi Status: Member State/District: Ca03 tranSactionS iD owner asset transaction Date notificatio"
20007409,"Filing ID #20007409 P t r erioDic ranSaction ePort Clerk of the House of Representatives • Legislative Resource Center • 135 Cannon Building • Washington, DC 20515 filer information name: Hon. Luis V. Gutierrez Status: Member State/District: IL04 tranSactionS iD owner asset transaction Date notifica"
20006551,"Filing ID #20006551 P t r erioDic ranSaction ePort Clerk of the House of Representatives • Legislative Resource Center • 135 Cannon Building • Washington, DC 20515 filer information name: Hon. James R. Langevin Status: Member State/District: RI02 tranSactionS iD owner asset transaction Date notifica"
20003007,"Filing ID #20003007 P t r erioDic ranSaction ePort Clerk of the House of Representatives • Legislative Resource Center • 135 Cannon Building • Washington, DC 20515 filer information name: Hon. Nita M. Lowey Status: Member State/District: NY17 tranSactionS iD owner asset transaction Date notification"
20007348,"Filing ID #20007348 P t r erioDic ranSaction ePort Clerk of the House of Representatives • legislative Resource Center • 135 Cannon Building • Washington, DC 20515 filer information name: Hon. James P. McGovern Status: Member State/District: Ma02 tranSactionS iD owner asset transaction Date notifica"
20006475,"Filing ID #20006475 P t r erioDic ranSaction ePort Clerk of the House of Representatives • legislative Resource Center • 135 Cannon Building • Washington, DC 20515 filer information name: Hon. Scott H. Peters Status: Member State/District: Ca52 tranSactionS iD owner asset transaction Date notificati"
20006732,"Filing ID #20006732 P t r erioDic ranSaction ePort Clerk of the House of Representatives • legislative Resource Center • 135 Cannon Building • Washington, DC 20515 filer information name: Hon. Scott H. Peters Status: Member State/District: Ca52 tranSactionS iD owner asset transaction Date notificati"
20006926,"Filing ID #20006926 P t r erioDic ranSaction ePort Clerk of the House of Representatives • legislative Resource Center • 135 Cannon Building • Washington, DC 20515 filer information name: Hon. Scott H. Peters Status: Member State/District: Ca52 tranSactionS iD owner asset transaction Date notificati"
20007058,"Filing ID #20007058 P t r erioDic ranSaction ePort Clerk of the House of Representatives • legislative Resource Center • 135 Cannon Building • Washington, DC 20515 filer information name: Hon. Scott H. Peters Status: Member State/District: Ca52 tranSactionS iD owner asset transaction Date notificati"
20007613,"Filing ID #20007613 P t r erioDic ranSaction ePort Clerk of the House of Representatives • legislative Resource Center • 135 Cannon Building • Washington, DC 20515 filer information name: Hon. David E. Price Status: Member State/District: NC04 tranSactionS iD owner asset transaction Date notificatio"
20008237,"Filing ID #20008237 P t r erioDic ranSaction ePort Clerk of the House of Representatives • legislative Resource Center • 135 Cannon Building • Washington, DC 20515 filer information name: Hon. David E. Price Status: Member State/District: NC04 tranSactionS iD owner asset transaction Date notificatio"
