year,decl_elec,delta0,nous_plus,quiver_plus,matched,only_quiver,ticker_rate,truly_absent
2020,94,35,56,3,5144,15,15,0
2021,103,34,68,1,4385,14,13,1
2022,94,31,62,1,2553,29,29,0
2023,86,20,64,2,3305,64,61,3
2024,88,26,61,1,1922,39,37,2
2025,94,36,57,1,5087,55,54,1
2026,79,35,43,1,1816,25,23,2
