annee,final,quiver,cov_pct,matched,only_quiver,only_ours,sense_pct,amount_pct,only_q_digital_brut
2020,15677,10359,85.0,7106,1253,4569,94.5,88.9,15
2021,12273,7077,88.6,5221,672,3159,94.4,90.0,14
2022,14501,9326,80.7,6061,1452,4089,88.8,89.1,29
2023,10490,8818,81.0,6128,1442,1238,94.1,93.8,65
2024,8971,6686,85.8,4670,772,1207,92.2,94.0,40
2025,13644,12607,91.3,9835,938,1031,93.8,98.6,58
2026,6090,4927,88.0,4115,559,873,95.8,98.4,27
