bioguide_id,nous,quiver,delta
A000367,3,1,2
A000372,7,7,0
B000574,84,57,27
B001260,23,0,23
B001274,25,23,2
B001284,13,12,1
B001286,7,7,0
B001292,471,352,119
B001299,24,0,24
B001309,1,1,0
C001062,222,130,92
C001066,25,23,2
C001068,49,49,0
C001069,161,114,47
C001078,8,8,0
C001080,1,1,0
C001101,157,86,71
C001103,5,0,5
C001114,102,0,102
C001123,715,709,6
C001124,1,0,1
D000399,20,20,0
D000598,18,18,0
D000617,59,8,51
D000624,10,9,1
D000628,24,0,24
E000296,43,43,0
F000450,52,52,0
F000461,3,1,2
F000462,158,159,-1
G000061,34,34,0
G000563,16,16,0
G000577,2,2,0
G000578,3,2,1
G000579,37,37,0
G000583,490,447,43
G000584,492,0,492
G000588,2,2,0
G000590,298,262,36
G000591,2,1,1
H001072,7,5,2
H001082,146,103,43
J000020,21,21,0
J000294,1,1,0
J000295,29,22,7
K000378,24,24,0
K000391,1,0,1
L000397,73,71,2
L000557,34,29,5
L000559,95,78,17
L000566,1,1,0
L000579,392,153,239
L000590,385,385,0
M000087,2,0,2
M001180,112,94,18
M001184,1,1,0
M001188,1,1,0
M001198,29,0,29
M001199,18,18,0
M001204,10,10,0
M001205,39,38,1
M001206,17,17,0
N000147,3,0,3
O000171,2,2,0
P000034,5,4,1
P000096,2,2,0
P000197,33,22,11
P000523,10,8,2
P000593,33,33,0
P000597,3,0,3
P000608,46,6,40
P000616,422,379,43
R000597,11,9,2
R000603,6,6,0
R000609,24,23,1
R000616,6,5,1
S000185,6,5,1
S001148,7,7,0
S001156,4,0,4
S001190,7,2,5
S001199,11,10,1
S001206,557,558,-1
S001207,170,172,-2
S001209,1,0,1
S001214,2,2,0
S001216,10,5,5
T000479,20,20,0
T000480,18,18,0
T000483,13,4,9
V000108,3,2,1
W000800,27,0,27
W000804,19,19,0
W000823,2,0,2
Y000062,71,71,0
