bioguide_id,name,docs,n_ocr,n_quiver,delta
K000389,Rohit Khanna,12,4421,2442,1979
M001157,Michael T. McCaul,11,2341,2251,90
R000582,David P. Roe,11,1686,0,1686
R000607,Francis Rooney,12,189,0,189
S001180,Kurt Schrader,10,122,0,122
F000459,"Charles J. ""Chuck"" Fleischmann",5,70,0,70
L000564,Doug Lamborn,4,44,0,44
H001074,Trey Hollingsworth,7,36,0,36
R000395,Harold Dallas Rogers,6,22,0,22
W000812,Ann Wagner,2,4,0,4
B001257,Gus M. Bilirakis,2,3,0,3
K000379,Joseph P. Kennedy,3,3,0,3
S001150,Adam B. Schiff,1,1,0,1
