uuid,raison,url
8e8ae815-6d8b-4330-8aa0-da89ab2e2ca0,papier (OCR requis),https://efdsearch.senate.gov/search/view/paper/8e8ae815-6d8b-4330-8aa0-da89ab2e2ca0/
4fbbf6be-25c1-4589-bda0-95b5295c4107,papier (OCR requis),https://efdsearch.senate.gov/search/view/paper/4fbbf6be-25c1-4589-bda0-95b5295c4107/
14607985-10ba-44a3-bd64-9840e003b06e,papier (OCR requis),https://efdsearch.senate.gov/search/view/paper/14607985-10ba-44a3-bd64-9840e003b06e/
d7d35e4a-545e-4215-a318-f90031461bc3,papier (OCR requis),https://efdsearch.senate.gov/search/view/paper/d7d35e4a-545e-4215-a318-f90031461bc3/
