year,n_digital,n_ocr,n_ocr_added,n_dups_intersource,n_final,senateurs_final,ticker_pct_final,volume_final_musd
2020,1706,255,255,0,1961,33,80.4,304.4
2021,1098,281,281,0,1379,35,70.1,133.7
2022,919,182,182,0,1101,27,74.8,98.2
2023,1062,97,97,0,1159,30,77.1,73.2
2024,946,84,84,0,1030,24,67.3,95.1
2025,943,478,478,0,1421,31,44.6,187.7
2026,487,303,303,0,790,22,42.5,86.9
