year,n_ptr_elec,n_ptr_paper,n_parse_fail,n_txns,n_senateurs,ticker_pct,quiver_txns,coverage_pct,only_quiver,delta_total,concordant,nous_plus,quiver_sans_donnee,sens_pct,date_traded_pct,montant_pct
2020,146,33,0,1706,29,89.4,1574,99.4,8,132,5,14,10,95.9,99.4,91.2
2021,123,22,0,1098,31,85.8,579,98.0,8,519,6,15,9,84.4,98.0,82.5
2022,100,19,0,919,24,81.2,769,99.4,4,150,7,13,4,92.8,99.4,90.1
2023,100,15,0,1062,29,76.8,897,99.7,2,165,8,13,8,93.3,99.7,80.5
2024,115,14,0,946,23,71.9,677,99.6,2,269,8,13,2,92.6,99.6,84.0
2025,146,21,0,943,30,65.6,542,99.8,1,401,12,13,5,96.1,99.8,95.1
2026,75,6,0,487,21,69.0,303,100.0,0,184,7,9,5,100.0,100.0,98.9
