asset_type,exact_match,date_mismatch,no_match,non_equity,total,quiver_has_pct
(inconnu),0,0,66,14,80,0.0
Commodities/Futures Contract,0,0,0,17,17,
Corporate Bond,1,0,12,46,59,7.7
Cryptocurrency,3,0,0,0,3,100.0
Municipal Security,0,0,2,32,34,0.0
Non-Public Stock,0,0,1,14,15,0.0
Option,104,1,0,3,108,100.0
Other,40,19,70,133,262,45.7
Stock,307,14,461,5,787,41.0
Stock Option,14,0,0,0,14,100.0
