scope,field,agreement_pct,n_pairs
digital,sense,99.5,2819
digital,date_traded,99.7,2563
digital,date_filed,1.1,2563
digital,amount_bucket,96.8,2819
ocr,sense,91.3,3824
ocr,date_traded,68.8,3678
ocr,date_filed,1.0,3678
ocr,amount_bucket,95.2,3824
both,sense,94.7,6643
both,date_traded,81.5,6241
both,date_filed,1.0,6241
both,amount_bucket,95.9,6643
