bioguide_id,declarant_name,chamber,party,state_district,committee_membership,committees_key_flag,transaction_date,disclosure_date,date_confidence,ticker,asset_description,asset_type,operation_type,amount_range,amount_midpoint,amount_split_flag,owner,doc_id,source_url,natural_key_hash,ticker_source,provenance,occurrence_index
B001257,Gus M. Bilirakis,house,Republican,FL12,HSIF14; HSIF16; HSIF17; House Committee on Energy and Commerce; House Select Committee on the Strategic Competition Between the United States and the Chinese Communist Party,False,2017-09-18,2017-09-26,plausible,WFC,Wells Fargo & Co. NEW,Stock,Sale,"$1,001 - $15,000",8000.0,False,Joint Tenancy,9111826,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2017/9111826.pdf,fe8279c5f8b959ef000b617faab57fd3fd976d871696fd460aae6936fb11396d,llm,house-pdf-ocr,0
B001257,Gus M. Bilirakis,house,Republican,FL12,HSIF14; HSIF16; HSIF17; House Committee on Energy and Commerce; House Select Committee on the Strategic Competition Between the United States and the Chinese Communist Party,False,2017-09-18,2017-09-26,plausible,STI,"Suntrust Banks, INC",Mutual Fund,Sale,"$1,001 - $15,000",8000.0,False,Joint Tenancy,9111826,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2017/9111826.pdf,494e0de48564a4537bd0b5514cc6097458ed174b008ec7e448580407c918a97a,elec_dict,house-pdf-ocr,0
B001273,Diane Black,house,Republican,TN06,,False,2017-01-17,2017-02-07,plausible,,LONGLEAF PARTNERS SMALL CAP FD,,Purchase,"$50,001 - $100,000",75000.0,False,Spouse,9110430,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2017/9110430.pdf,2864c4d303524b0d6e114ea45557bc171b9d898d7557b558a8423526242776da,none,house-pdf-ocr,0
B001273,Diane Black,house,Republican,TN06,,False,2017-03-07,2017-03-28,plausible,PRGO,PERRIGO CO PLC COM STK,Stock,Purchase,"$15,001 - $50,000",32500.0,False,Spouse,9110596,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2017/9110596.pdf,72bf82a091a214e56ef45a48f56b087cdce91ef7ca1bd647544c4d63919629c9,llm,house-pdf-ocr,0
B001273,Diane Black,house,Republican,TN06,,False,2017-03-07,2017-03-28,plausible,BRK.A,BERKSHIRE HATHAWAY INC-CL B,Stock,Sale,"$50,001 - $100,000",75000.0,False,Spouse,9110596,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2017/9110596.pdf,ba4670a93bb437f685905d64eb46e7da5874e293d5dea4e29c6baa0cdae1381e,elec_dict,house-pdf-ocr,0
B001273,Diane Black,house,Republican,TN06,,False,2017-04-28,2017-05-05,plausible,BRK.A,BERKSHIRE HATHAWAY INC-CL B,Stock,Sale,"$15,001 - $50,000",32500.0,False,Spouse,9110713,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2017/9110713.pdf,72c90792bb6fa2e096932afd0b73046caf6d45476aadcf4411c5f75ae92bb66a,elec_dict,house-pdf-ocr,0
B001273,Diane Black,house,Republican,TN06,,False,2017-05-01,2017-05-23,plausible,CMCSA,COMCAST CORP CL A,Stock,Purchase,"$15,001 - $50,000",32500.0,False,Spouse,9110837,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2017/9110837.pdf,a149b6ec68bf92ed6bb8182f1be532d6ade77ef4a9ab4b1410c7b3b2b6b8185d,elec_dict,house-pdf-ocr,0
B001273,Diane Black,house,Republican,TN06,,False,2017-05-01,2017-05-23,plausible,UN,UNILEVER N V-NYSHARES,,Purchase,"$15,001 - $50,000",32500.0,False,Spouse,9110837,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2017/9110837.pdf,2b11a57b53500bf03369ded43566127c91e3b1c5e30e04b9fdbfa5e3f01f1aae,llm,house-pdf-ocr,0
B001273,Diane Black,house,Republican,TN06,,False,2017-05-10,2017-05-23,plausible,SABR,SABRE CORP COM STK,Stock,Purchase,"$15,001 - $50,000",32500.0,False,Spouse,9110837,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2017/9110837.pdf,d1a43174eb7e8d4c83fa619722ccb75c27622d2a736c4c82b19f9be92975d144,llm,house-pdf-ocr,0
B001273,Diane Black,house,Republican,TN06,,False,2017-06-29,2017-07-17,plausible,BRK.A,BERKSHIRE HATHAWAY INC-CL B,Stock,Sale,"$15,001 - $50,000",32500.0,False,Spouse,9111448,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2017/9111448.pdf,29bdcef883b7c5957c73787ae79203fff04e5d825447f41b8bd2436cc8e1fc61,elec_dict,house-pdf-ocr,0
B001273,Diane Black,house,Republican,TN06,,False,2017-09-11,2017-10-02,plausible,,LONGLEAF PARTNERS SMALL CAP FD,,Sale,"$100,001 - $250,000",175000.0,False,Spouse,9111848,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2017/9111848.pdf,5ffbb3980e67417aec79ca765b0b9e1b491b9596dcfecd91fc3a43690390faad,none,house-pdf-ocr,0
D000620,John K. Delaney,house,Democrat,MD06,,False,2017-02-16,2017-03-15,plausible,XRAY,Dentsply Sirona Inc. - stock,Stock,Sale,"$1,001 - $15,000",8000.0,False,Joint Tenancy,9110550,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2017/9110550.pdf,54000dddb0257bd72aa0a78f6dc887752fa6d83ecbcb3805affc52020ed98476,elec_dict,house-pdf-ocr,0
D000620,John K. Delaney,house,Democrat,MD06,,False,2017-02-16,2017-03-15,plausible,IT,Gartner Inc. - stock,Stock,Purchase,"$15,001 - $50,000",32500.0,False,Joint Tenancy,9110550,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2017/9110550.pdf,20ee92fb2616e4d69dc71073414ce2c2d3a0c17997fea33ac87eda8927195785,llm,house-pdf-ocr,0
D000620,John K. Delaney,house,Democrat,MD06,,False,2017-02-17,2017-03-15,plausible,BLKB,Blackbaud Inc. - stock,Stock,Purchase,"$1,001 - $15,000",8000.0,False,Joint Tenancy,9110550,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2017/9110550.pdf,9435a6220bf45e41491fba825cc73ab61b0fe51d73a854053702527eb0fb9a58,llm,house-pdf-ocr,0
D000620,John K. Delaney,house,Democrat,MD06,,False,2017-02-27,2017-03-15,plausible,ROL,Rollins Inc. - stock,Stock,Sale,"$1,001 - $15,000",8000.0,False,Joint Tenancy,9110550,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2017/9110550.pdf,dfc28212eb3012d155c0a9a842ae0ad23da68d532f0e7eb26fbe3edaa683f16c,llm,house-pdf-ocr,0
D000620,John K. Delaney,house,Democrat,MD06,,False,2017-02-28,2017-03-15,plausible,SIG,Signet Jewelers Ltd. - stock,,Purchase,"$15,001 - $50,000",32500.0,False,Joint Tenancy,9110550,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2017/9110550.pdf,6f983a7bb600d374d4596b3359fe4655c92740e08cf71793b810eea9203d659a,llm,house-pdf-ocr,0
