asset_type,exact_match,date_mismatch,no_match,non_equity,total,quiver_has_pct
(inconnu),3155,54,464,2287,5960,87.4
Corporate Bond,0,0,1,26,27,0.0
Gov Security,0,0,24,41,65,0.0
Mutual Fund,13,5,116,85,219,13.4
Other,0,0,0,3,3,
Stock,3126,603,2241,345,6315,62.5
