scope,metric,value
digital,common_members,69.0
digital,quiver_amendment_dups,1325.0
digital,ours_tickerizable,2582.0
digital,quiver,2563.0
digital,matched,2555.0
digital,only_quiver,8.0
digital,only_ours,27.0
digital,coverage_pct,99.7
ocr,common_members,2.0
ocr,quiver_amendment_dups,1325.0
ocr,ours_tickerizable,3523.0
ocr,quiver,3678.0
ocr,matched,2530.0
ocr,only_quiver,1148.0
ocr,only_ours,993.0
ocr,coverage_pct,68.8
both,common_members,71.0
both,quiver_amendment_dups,1325.0
both,ours_tickerizable,6105.0
both,quiver,6241.0
both,matched,5085.0
both,only_quiver,1156.0
both,only_ours,1020.0
both,coverage_pct,81.5
